Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,G1,Destination[1],A1,275.0
Source[1],384PP_AQ_BP,J4,Destination[1],A1,250.0
Source[3],384PP_AQ_BP,B18,Destination[1],A1,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],A2,275.0
Source[1],384PP_AQ_BP,J4,Destination[1],A2,250.0
Source[3],384PP_AQ_BP,B18,Destination[1],A2,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A5,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],A5,500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A5,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],A5,400.0
Source[1],384PP_AQ_BP,I2,Destination[1],A5,750.0
Source[1],384PP_AQ_BP,O3,Destination[1],A5,1000.0
Source[1],384PP_AQ_BP,M3,Destination[1],A5,500.0
Source[3],384PP_AQ_BP,B13,Destination[1],A5,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A6,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],A6,500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A6,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],A6,400.0
Source[1],384PP_AQ_BP,I2,Destination[1],A6,750.0
Source[1],384PP_AQ_BP,O3,Destination[1],A6,1000.0
Source[1],384PP_AQ_BP,M3,Destination[1],A6,500.0
Source[3],384PP_AQ_BP,B13,Destination[1],A6,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A8,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],A8,500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A8,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],A8,400.0
Source[1],384PP_AQ_BP,I2,Destination[1],A8,750.0
Source[1],384PP_AQ_BP,O3,Destination[1],A8,1000.0
Source[1],384PP_AQ_BP,M3,Destination[1],A8,500.0
Source[3],384PP_AQ_BP,B13,Destination[1],A8,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A9,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],A9,500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A9,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],A9,400.0
Source[1],384PP_AQ_BP,I2,Destination[1],A9,750.0
Source[1],384PP_AQ_BP,O3,Destination[1],A9,1000.0
Source[1],384PP_AQ_BP,M3,Destination[1],A9,500.0
Source[3],384PP_AQ_BP,B13,Destination[1],A9,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],A11,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A11,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A11,250.0
Source[1],384PP_AQ_BP,E1,Destination[1],A11,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A11,25.0
Source[1],384PP_AQ_BP,H1,Destination[1],A11,1000.0
Source[1],384PP_AQ_BP,I2,Destination[1],A11,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],A11,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A11,1000.0
Source[3],384PP_AQ_BP,B22,Destination[1],A11,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],A12,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A12,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A12,250.0
Source[1],384PP_AQ_BP,E1,Destination[1],A12,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A12,25.0
Source[1],384PP_AQ_BP,H1,Destination[1],A12,1000.0
Source[1],384PP_AQ_BP,I2,Destination[1],A12,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],A12,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A12,1000.0
Source[3],384PP_AQ_BP,B22,Destination[1],A12,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],B1,275.0
Source[1],384PP_AQ_BP,J4,Destination[1],B1,250.0
Source[3],384PP_AQ_BP,B19,Destination[1],B1,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],B2,275.0
Source[1],384PP_AQ_BP,J4,Destination[1],B2,250.0
Source[3],384PP_AQ_BP,B19,Destination[1],B2,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B5,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],B5,500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B5,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],B5,400.0
Source[1],384PP_AQ_BP,I2,Destination[1],B5,750.0
Source[1],384PP_AQ_BP,O3,Destination[1],B5,1000.0
Source[1],384PP_AQ_BP,M3,Destination[1],B5,500.0
Source[3],384PP_AQ_BP,B20,Destination[1],B5,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B6,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],B6,500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B6,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],B6,400.0
Source[1],384PP_AQ_BP,I2,Destination[1],B6,750.0
Source[1],384PP_AQ_BP,O3,Destination[1],B6,1000.0
Source[1],384PP_AQ_BP,M3,Destination[1],B6,500.0
Source[3],384PP_AQ_BP,B20,Destination[1],B6,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B8,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],B8,500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B8,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],B8,400.0
Source[1],384PP_AQ_BP,I2,Destination[1],B8,750.0
Source[1],384PP_AQ_BP,O3,Destination[1],B8,1000.0
Source[1],384PP_AQ_BP,M3,Destination[1],B8,500.0
Source[3],384PP_AQ_BP,B20,Destination[1],B8,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B9,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],B9,500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B9,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],B9,400.0
Source[1],384PP_AQ_BP,I2,Destination[1],B9,750.0
Source[1],384PP_AQ_BP,O3,Destination[1],B9,1000.0
Source[1],384PP_AQ_BP,M3,Destination[1],B9,500.0
Source[3],384PP_AQ_BP,B20,Destination[1],B9,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B11,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B11,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B11,250.0
Source[1],384PP_AQ_BP,E1,Destination[1],B11,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B11,25.0
Source[1],384PP_AQ_BP,H1,Destination[1],B11,1000.0
Source[1],384PP_AQ_BP,I2,Destination[1],B11,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],B11,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B11,1000.0
Source[3],384PP_AQ_BP,B21,Destination[1],B11,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B12,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B12,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B12,250.0
Source[1],384PP_AQ_BP,E1,Destination[1],B12,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B12,25.0
Source[1],384PP_AQ_BP,H1,Destination[1],B12,1000.0
Source[1],384PP_AQ_BP,I2,Destination[1],B12,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],B12,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B12,1000.0
Source[3],384PP_AQ_BP,B21,Destination[1],B12,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],C1,275.0
Source[1],384PP_AQ_BP,J4,Destination[1],C1,250.0
Source[3],384PP_AQ_BP,B13,Destination[1],C1,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],C2,275.0
Source[1],384PP_AQ_BP,J4,Destination[1],C2,250.0
Source[3],384PP_AQ_BP,B13,Destination[1],C2,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],C5,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],C5,1000.0
Source[1],384PP_AQ_BP,C1,Destination[1],C5,250.0
Source[1],384PP_AQ_BP,D2,Destination[1],C5,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],C5,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],C5,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],C5,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],C5,1000.0
Source[1],384PP_AQ_BP,I2,Destination[1],C5,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],C5,1000.0
Source[1],384PP_AQ_BP,N1,Destination[1],C5,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],C5,500.0
Source[1],384PP_AQ_BP,B3,Destination[1],C5,250.0
Source[1],384PP_AQ_BP,O3,Destination[1],C5,1000.0
Source[1],384PP_AQ_BP,M3,Destination[1],C5,1000.0
Source[3],384PP_AQ_BP,B13,Destination[1],C5,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],C6,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],C6,1000.0
Source[1],384PP_AQ_BP,C1,Destination[1],C6,250.0
Source[1],384PP_AQ_BP,D2,Destination[1],C6,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],C6,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],C6,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],C6,400.0
