Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A1,19475.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A2,19475.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,16325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,16325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A8,16325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A9,16325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A11,12975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A12,12975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B1,19475.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B2,19475.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,16325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,16325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B8,16325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B9,16325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B11,12975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B12,12975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C1,19475.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C2,19475.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C8,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C9,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C11,12975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C12,12975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D1,19475.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D2,19475.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D5,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D6,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D8,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D9,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D11,13225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D12,13225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E1,19475.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E2,19475.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E5,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E6,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E8,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E9,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E11,13225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E12,13225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F1,19475.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F2,19475.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F5,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F6,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F8,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F9,8825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F11,13225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F12,13225.0
