Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[3],384PP_AQ_BP,B12,Destination[1],A1,2500.0
Source[3],384PP_AQ_BP,B12,Destination[1],A2,2500.0
Source[1],384PP_AQ_BP,L1,Destination[1],A3,1000.0
Source[3],384PP_AQ_BP,B12,Destination[1],A3,2500.0
Source[1],384PP_AQ_BP,L1,Destination[1],A4,1000.0
Source[3],384PP_AQ_BP,B12,Destination[1],A4,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A5,1000.0
Source[3],384PP_AQ_BP,B12,Destination[1],A5,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A6,1000.0
Source[3],384PP_AQ_BP,B12,Destination[1],A6,2500.0
Source[1],384PP_AQ_BP,P1,Destination[1],A7,1000.0
Source[3],384PP_AQ_BP,B12,Destination[1],A7,2500.0
Source[1],384PP_AQ_BP,P1,Destination[1],A8,1000.0
Source[3],384PP_AQ_BP,B12,Destination[1],A8,2500.0
Source[1],384PP_AQ_BP,B3,Destination[1],A9,250.0
Source[3],384PP_AQ_BP,B12,Destination[1],A9,2500.0
Source[1],384PP_AQ_BP,B3,Destination[1],A10,250.0
Source[3],384PP_AQ_BP,B12,Destination[1],A10,2500.0
Source[3],384PP_AQ_BP,B12,Destination[1],B1,2500.0
Source[3],384PP_AQ_BP,B12,Destination[1],B2,2500.0
Source[1],384PP_AQ_BP,L1,Destination[1],B3,1000.0
Source[3],384PP_AQ_BP,B12,Destination[1],B3,2500.0
Source[1],384PP_AQ_BP,L1,Destination[1],B4,1000.0
Source[3],384PP_AQ_BP,B12,Destination[1],B4,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B5,1000.0
Source[3],384PP_AQ_BP,B12,Destination[1],B5,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B6,1000.0
Source[3],384PP_AQ_BP,B12,Destination[1],B6,2500.0
Source[1],384PP_AQ_BP,P1,Destination[1],B7,1000.0
Source[3],384PP_AQ_BP,B13,Destination[1],B7,2500.0
Source[1],384PP_AQ_BP,P1,Destination[1],B8,1000.0
Source[3],384PP_AQ_BP,B13,Destination[1],B8,2500.0
Source[1],384PP_AQ_BP,B3,Destination[1],B9,250.0
Source[3],384PP_AQ_BP,B13,Destination[1],B9,2500.0
Source[1],384PP_AQ_BP,B3,Destination[1],B10,250.0
Source[3],384PP_AQ_BP,B13,Destination[1],B10,2500.0
Source[3],384PP_AQ_BP,B13,Destination[1],C1,2500.0
Source[3],384PP_AQ_BP,B13,Destination[1],C2,2500.0
Source[1],384PP_AQ_BP,L1,Destination[1],C3,1000.0
Source[3],384PP_AQ_BP,B13,Destination[1],C3,2500.0
Source[1],384PP_AQ_BP,L1,Destination[1],C4,1000.0
Source[3],384PP_AQ_BP,B13,Destination[1],C4,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],C5,1000.0
Source[3],384PP_AQ_BP,B13,Destination[1],C5,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],C6,1000.0
Source[3],384PP_AQ_BP,B13,Destination[1],C6,2500.0
Source[1],384PP_AQ_BP,P1,Destination[1],C7,1000.0
Source[3],384PP_AQ_BP,B13,Destination[1],C7,2500.0
Source[1],384PP_AQ_BP,P1,Destination[1],C8,1000.0
Source[3],384PP_AQ_BP,B13,Destination[1],C8,2500.0
Source[1],384PP_AQ_BP,B3,Destination[1],C9,250.0
Source[3],384PP_AQ_BP,B13,Destination[1],C9,2500.0
Source[1],384PP_AQ_BP,B3,Destination[1],C10,250.0
Source[3],384PP_AQ_BP,B13,Destination[1],C10,2500.0
Source[3],384PP_AQ_BP,B13,Destination[1],D1,2500.0
Source[3],384PP_AQ_BP,B13,Destination[1],D2,2500.0
Source[1],384PP_AQ_BP,L1,Destination[1],D3,1000.0
Source[3],384PP_AQ_BP,B14,Destination[1],D3,2500.0
Source[1],384PP_AQ_BP,L1,Destination[1],D4,1000.0
Source[3],384PP_AQ_BP,B14,Destination[1],D4,2500.0
