Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A1,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A2,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A3,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A4,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A7,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A8,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A9,19750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A10,19750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B1,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B2,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B3,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B4,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B7,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B8,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B9,19750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B10,19750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C1,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C2,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C3,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C4,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C7,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C8,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C9,19750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C10,19750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D1,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D2,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D3,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D4,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D5,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D6,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D7,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D8,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D9,19750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D10,19750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E1,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E2,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E3,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E4,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E5,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E6,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E7,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E8,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E9,19750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E10,19750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F1,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F2,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F3,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F4,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F5,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F6,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F7,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F8,19000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F9,19750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F10,19750.0
