Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],B12,750.0
Source[1],384PP_AQ_BP,A1,Destination[1],B13,750.0
Source[1],384PP_AQ_BP,A1,Destination[1],B14,750.0
Source[1],384PP_AQ_BP,A1,Destination[1],B23,750.0
Source[1],384PP_AQ_BP,A1,Destination[1],B15,225.0
Source[1],384PP_AQ_BP,P3,Destination[1],B15,75.0
Source[1],384PP_AQ_BP,P9,Destination[1],B15,25.0
Source[1],384PP_AQ_BP,K4,Destination[1],B15,100.0
Source[1],384PP_AQ_BP,K5,Destination[1],B15,100.0
Source[1],384PP_AQ_BP,K6,Destination[1],B15,125.0
Source[1],384PP_AQ_BP,K11,Destination[1],B15,75.0
Source[1],384PP_AQ_BP,K13,Destination[1],B15,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],B16,150.0
Source[1],384PP_AQ_BP,P3,Destination[1],B16,75.0
Source[1],384PP_AQ_BP,P9,Destination[1],B16,25.0
Source[1],384PP_AQ_BP,O17,Destination[1],B16,75.0
Source[1],384PP_AQ_BP,K4,Destination[1],B16,100.0
Source[1],384PP_AQ_BP,K5,Destination[1],B16,100.0
Source[1],384PP_AQ_BP,K6,Destination[1],B16,125.0
Source[1],384PP_AQ_BP,K11,Destination[1],B16,75.0
Source[1],384PP_AQ_BP,K13,Destination[1],B16,25.0
Source[1],384PP_AQ_BP,P1,Destination[1],B17,25.0
Source[1],384PP_AQ_BP,P2,Destination[1],B17,100.0
Source[1],384PP_AQ_BP,P3,Destination[1],B17,50.0
Source[1],384PP_AQ_BP,P5,Destination[1],B17,50.0
Source[1],384PP_AQ_BP,P9,Destination[1],B17,25.0
Source[1],384PP_AQ_BP,O17,Destination[1],B17,75.0
Source[1],384PP_AQ_BP,K4,Destination[1],B17,100.0
Source[1],384PP_AQ_BP,K5,Destination[1],B17,100.0
Source[1],384PP_AQ_BP,K6,Destination[1],B17,125.0
Source[1],384PP_AQ_BP,K11,Destination[1],B17,75.0
Source[1],384PP_AQ_BP,K13,Destination[1],B17,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],B18,675.0
Source[1],384PP_AQ_BP,P3,Destination[1],B18,75.0
Source[1],384PP_AQ_BP,A1,Destination[1],B19,725.0
Source[1],384PP_AQ_BP,K13,Destination[1],B19,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],B20,125.0
Source[1],384PP_AQ_BP,K4,Destination[1],B20,100.0
Source[1],384PP_AQ_BP,K5,Destination[1],B20,225.0
Source[1],384PP_AQ_BP,K6,Destination[1],B20,275.0
Source[1],384PP_AQ_BP,K13,Destination[1],B20,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],B21,525.0
Source[1],384PP_AQ_BP,P1,Destination[1],B21,50.0
Source[1],384PP_AQ_BP,P2,Destination[1],B21,100.0
Source[1],384PP_AQ_BP,P3,Destination[1],B21,50.0
Source[1],384PP_AQ_BP,P5,Destination[1],B21,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],B22,375.0
Source[1],384PP_AQ_BP,P1,Destination[1],B22,50.0
Source[1],384PP_AQ_BP,P3,Destination[1],B22,50.0
Source[1],384PP_AQ_BP,P5,Destination[1],B22,25.0
Source[1],384PP_AQ_BP,K1,Destination[1],B22,250.0
Source[1],384PP_AQ_BP,E20,Destination[1],B12,2250.0
Source[1],384PP_AQ_BP,E20,Destination[1],B13,2250.0
Source[1],384PP_AQ_BP,E20,Destination[1],B14,2250.0
Source[1],384PP_AQ_BP,E20,Destination[1],B23,2250.0
Source[1],384PP_AQ_BP,E20,Destination[1],B15,2250.0
Source[1],384PP_AQ_BP,E20,Destination[1],B16,2249.9999999999995
Source[1],384PP_AQ_BP,E20,Destination[1],B17,2249.9999999999995
Source[1],384PP_AQ_BP,E20,Destination[1],B18,2250.0
Source[1],384PP_AQ_BP,E20,Destination[1],B19,2250.0
Source[1],384PP_AQ_BP,E20,Destination[1],B20,2250.0000000000005
Source[1],384PP_AQ_BP,E20,Destination[1],B21,2250.0000000000005
Source[1],384PP_AQ_BP,E20,Destination[1],B22,2250.0
