"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d"," -ESI EIC(472.1581) Scan Frag=175.0V gcv_1.d "
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"1" ,3.012,3.031,3.078,211.91,493.22,0.63,1.67,0.60,0.039,,0.00,0.00,,,,,305.75,0.00,0.03,641.66,,1.61,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"2" ,3.078,3.117,3.131,504.54,402.76,0.52,3.97,0.49,0.013,,0.00,0.00,,,,,0.00,0.00,2.03,0.00,,3.84,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"3" ,3.131,3.204,3.220,380.39,333.48,0.43,2.99,0.41,0.015,,0.00,0.00,,,,,0.00,0.00,2.44,541.20,,2.90,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"4" ,3.220,3.237,3.253,401.55,192.94,0.25,3.16,0.24,0.008,,0.00,0.00,,,,,0.00,0.00,0.84,582.19,,3.06,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"5" ,3.253,3.316,3.329,347.34,242.96,0.31,2.73,0.30,0.012,,0.00,0.00,,,,,0.00,0.00,2.24,0.00,,2.64,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"6" ,3.329,3.409,3.425,390.52,454.37,0.58,3.07,0.56,0.019,,0.00,0.00,,,,,0.00,0.00,3.65,547.57,,2.97,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"7" ,3.425,3.528,3.581,324.27,630.04,0.81,2.55,0.77,0.032,,0.00,0.00,,,,,0.00,0.00,0.61,231.80,,2.47,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"8" ,3.581,3.594,3.607,560.40,288.02,0.37,4.41,0.35,0.009,,0.00,0.00,,,,,0.00,0.00,1.07,0.00,,4.27,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"9" ,3.826,3.847,3.865,521.31,453.77,0.58,4.10,0.56,0.015,,0.00,0.00,,,,,0.00,0.00,1.01,388.53,,3.97,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"10" ,3.865,3.925,3.938,420.46,185.80,0.24,3.31,0.23,0.007,,0.00,0.00,,,,,0.00,0.00,0.96,0.00,,3.20,  ,248.9647,,,,,,,,,,,,
