D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_1.d, -ESI EIC(104.0348) Scan Frag=175.0V fwd_10x_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_1.d ,1,3.619,3.68,3.873,3782.88,17260.36,100,100,100,0.255,,0,0,0,0,,3782.88,,28.21,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_2.d, -ESI EIC(104.0348) Scan Frag=175.0V fwd_10x_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_2.d ,1,3.572,3.677,3.827,2029.8,8149.7,100,100,95.12,0.255,,0,489.7,0,489.7,,2232.07,,15.11,MM,,,,,M,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_2.d ,2,3.87,3.884,4.002,344.03,418.44,5.13,16.95,4.88,0.02,,0,0,0,0,0.35,402.7,,2.56,  ,248.9653,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_3.d, -ESI EIC(104.0348) Scan Frag=175.0V fwd_10x_3.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_3.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_3.d ,1,3.647,3.719,3.908,11617.79,59397.63,100,100,100,0.26,,0,0,0,0,,11617.79,,100,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_4.d, -ESI EIC(104.0348) Scan Frag=175.0V fwd_10x_4.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_4.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_4.d ,1,3.542,3.719,4.013,10314.81,48234.75,100,100,100,0.471,,0,0,0,0,,10314.81,,100,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_5.d, -ESI EIC(104.0348) Scan Frag=175.0V fwd_10x_5.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_5.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_5.d ,1,3.644,3.716,3.954,10957.69,62074.3,100,100,100,0.31,,0,0,0,0,,10957.69,,100,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_6.d, -ESI EIC(104.0348) Scan Frag=175.0V fwd_10x_6.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_6.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_10x_6.d ,1,3.622,3.727,3.926,9922.82,56023.26,100,100,100,0.305,,0,0,0,0,,9922.82,,100,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_50x_1.d, -ESI EIC(104.0348) Scan Frag=175.0V fwd_50x_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_50x_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_50x_1.d ,1,3.648,3.754,3.953,1323.3,2719.43,100,100,100,0.305,,0,0,0,0,,1323.3,,61.08,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_50x_2.d, -ESI EIC(104.0348) Scan Frag=175.0V fwd_50x_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_50x_2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_50x_2.d ,1,3.672,3.744,4.026,639.3,1975.81,100,100,100,0.355,,0,0,0,0,,639.3,,38.01,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_50x_3.d, -ESI EIC(104.0348) Scan Frag=175.0V fwd_50x_3.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230710_mod2\fwd_50x_3.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
