Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,B1,Destination[1],A5,500
Source[1],384PP_AQ_BP,D1,Destination[1],A5,500
Source[1],384PP_AQ_BP,F1,Destination[1],A5,25
Source[1],384PP_AQ_BP,I1,Destination[1],A5,750
Source[1],384PP_AQ_BP,O1,Destination[1],A5,50
Source[1],384PP_AQ_BP,B3,Destination[1],A5,250
Source[1],384PP_AQ_BP,O3,Destination[1],A5,500
Source[1],384PP_AQ_BP,J4,Destination[1],A5,250
Source[1],384PP_AQ_BP,B4,Destination[1],A5,25
Source[1],384PP_AQ_BP,A5,Destination[1],A5,25
Source[1],384PP_AQ_BP,B1,Destination[1],A6,500
Source[1],384PP_AQ_BP,D1,Destination[1],A6,500
Source[1],384PP_AQ_BP,F1,Destination[1],A6,25
Source[1],384PP_AQ_BP,I1,Destination[1],A6,750
Source[1],384PP_AQ_BP,O1,Destination[1],A6,50
Source[1],384PP_AQ_BP,B3,Destination[1],A6,250
Source[1],384PP_AQ_BP,O3,Destination[1],A6,500
Source[1],384PP_AQ_BP,J4,Destination[1],A6,250
Source[1],384PP_AQ_BP,B4,Destination[1],A6,25
Source[1],384PP_AQ_BP,A5,Destination[1],A6,25
Source[1],384PP_AQ_BP,B1,Destination[1],B5,500
Source[1],384PP_AQ_BP,D1,Destination[1],B5,500
Source[1],384PP_AQ_BP,F1,Destination[1],B5,25
Source[1],384PP_AQ_BP,I1,Destination[1],B5,750
Source[1],384PP_AQ_BP,O1,Destination[1],B5,50
Source[1],384PP_AQ_BP,B3,Destination[1],B5,250
Source[1],384PP_AQ_BP,O3,Destination[1],B5,500
Source[1],384PP_AQ_BP,J4,Destination[1],B5,250
Source[1],384PP_AQ_BP,B4,Destination[1],B5,25
Source[1],384PP_AQ_BP,A5,Destination[1],B5,25
Source[1],384PP_AQ_BP,B1,Destination[1],B6,500
Source[1],384PP_AQ_BP,D1,Destination[1],B6,500
Source[1],384PP_AQ_BP,F1,Destination[1],B6,25
Source[1],384PP_AQ_BP,I1,Destination[1],B6,750
Source[1],384PP_AQ_BP,O1,Destination[1],B6,50
Source[1],384PP_AQ_BP,B3,Destination[1],B6,250
Source[1],384PP_AQ_BP,O3,Destination[1],B6,500
Source[1],384PP_AQ_BP,J4,Destination[1],B6,250
Source[1],384PP_AQ_BP,B4,Destination[1],B6,25
Source[1],384PP_AQ_BP,A5,Destination[1],B6,25
Source[1],384PP_AQ_BP,B1,Destination[1],C5,500
Source[1],384PP_AQ_BP,D1,Destination[1],C5,500
Source[1],384PP_AQ_BP,F1,Destination[1],C5,25
Source[1],384PP_AQ_BP,I1,Destination[1],C5,750
Source[1],384PP_AQ_BP,O1,Destination[1],C5,50
Source[1],384PP_AQ_BP,B3,Destination[1],C5,250
Source[1],384PP_AQ_BP,O3,Destination[1],C5,500
Source[1],384PP_AQ_BP,J4,Destination[1],C5,250
Source[1],384PP_AQ_BP,B4,Destination[1],C5,25
Source[1],384PP_AQ_BP,A5,Destination[1],C5,25
Source[1],384PP_AQ_BP,B1,Destination[1],C6,500
Source[1],384PP_AQ_BP,D1,Destination[1],C6,500
Source[1],384PP_AQ_BP,F1,Destination[1],C6,25
Source[1],384PP_AQ_BP,I1,Destination[1],C6,750
Source[1],384PP_AQ_BP,O1,Destination[1],C6,50
Source[1],384PP_AQ_BP,B3,Destination[1],C6,250
Source[1],384PP_AQ_BP,O3,Destination[1],C6,500
Source[1],384PP_AQ_BP,J4,Destination[1],C6,250
Source[1],384PP_AQ_BP,B4,Destination[1],C6,25
Source[1],384PP_AQ_BP,A5,Destination[1],C6,25
Source[1],384PP_AQ_BP,B1,Destination[1],A7,500
Source[1],384PP_AQ_BP,D1,Destination[1],A7,500
Source[1],384PP_AQ_BP,F1,Destination[1],A7,25
Source[1],384PP_AQ_BP,I1,Destination[1],A7,750
Source[1],384PP_AQ_BP,O1,Destination[1],A7,50
Source[1],384PP_AQ_BP,B3,Destination[1],A7,250
Source[1],384PP_AQ_BP,O3,Destination[1],A7,500
Source[1],384PP_AQ_BP,J4,Destination[1],A7,250
Source[1],384PP_AQ_BP,B4,Destination[1],A7,25
Source[1],384PP_AQ_BP,A5,Destination[1],A7,25
Source[1],384PP_AQ_BP,B1,Destination[1],A8,500
Source[1],384PP_AQ_BP,D1,Destination[1],A8,500
Source[1],384PP_AQ_BP,F1,Destination[1],A8,25
Source[1],384PP_AQ_BP,I2,Destination[1],A8,750
Source[1],384PP_AQ_BP,O1,Destination[1],A8,50
Source[1],384PP_AQ_BP,B3,Destination[1],A8,250
Source[1],384PP_AQ_BP,O3,Destination[1],A8,500
Source[1],384PP_AQ_BP,J4,Destination[1],A8,250
Source[1],384PP_AQ_BP,B4,Destination[1],A8,25
Source[1],384PP_AQ_BP,A5,Destination[1],A8,25
Source[1],384PP_AQ_BP,B1,Destination[1],B7,500
Source[1],384PP_AQ_BP,D1,Destination[1],B7,500
Source[1],384PP_AQ_BP,F1,Destination[1],B7,25
Source[1],384PP_AQ_BP,I2,Destination[1],B7,750
Source[1],384PP_AQ_BP,O1,Destination[1],B7,50
Source[1],384PP_AQ_BP,B3,Destination[1],B7,250
Source[1],384PP_AQ_BP,O3,Destination[1],B7,500
Source[1],384PP_AQ_BP,J4,Destination[1],B7,250
Source[1],384PP_AQ_BP,B4,Destination[1],B7,25
Source[1],384PP_AQ_BP,A5,Destination[1],B7,25
Source[1],384PP_AQ_BP,B1,Destination[1],B8,500
Source[1],384PP_AQ_BP,D1,Destination[1],B8,500
Source[1],384PP_AQ_BP,F1,Destination[1],B8,25
Source[1],384PP_AQ_BP,I2,Destination[1],B8,750
Source[1],384PP_AQ_BP,O1,Destination[1],B8,50
Source[1],384PP_AQ_BP,B3,Destination[1],B8,250
Source[1],384PP_AQ_BP,O3,Destination[1],B8,500
Source[1],384PP_AQ_BP,J4,Destination[1],B8,250
Source[1],384PP_AQ_BP,B4,Destination[1],B8,25
Source[1],384PP_AQ_BP,A5,Destination[1],B8,25
Source[1],384PP_AQ_BP,B1,Destination[1],C7,500
Source[1],384PP_AQ_BP,D1,Destination[1],C7,500
Source[1],384PP_AQ_BP,F1,Destination[1],C7,25
Source[1],384PP_AQ_BP,I2,Destination[1],C7,750
Source[1],384PP_AQ_BP,O1,Destination[1],C7,50
Source[1],384PP_AQ_BP,B3,Destination[1],C7,250
Source[1],384PP_AQ_BP,O3,Destination[1],C7,500
Source[1],384PP_AQ_BP,J4,Destination[1],C7,250
Source[1],384PP_AQ_BP,B4,Destination[1],C7,25
Source[1],384PP_AQ_BP,A5,Destination[1],C7,25
Source[1],384PP_AQ_BP,B1,Destination[1],C8,500
Source[1],384PP_AQ_BP,D1,Destination[1],C8,500
Source[1],384PP_AQ_BP,F1,Destination[1],C8,25
Source[1],384PP_AQ_BP,I2,Destination[1],C8,750
Source[1],384PP_AQ_BP,O1,Destination[1],C8,50
Source[1],384PP_AQ_BP,B3,Destination[1],C8,250
Source[1],384PP_AQ_BP,O3,Destination[1],C8,500
Source[1],384PP_AQ_BP,J4,Destination[1],C8,250
Source[1],384PP_AQ_BP,B4,Destination[1],C8,25
Source[1],384PP_AQ_BP,A5,Destination[1],C8,25
Source[1],384PP_AQ_BP,B1,Destination[1],A9,500
Source[1],384PP_AQ_BP,D1,Destination[1],A9,500
Source[1],384PP_AQ_BP,F1,Destination[1],A9,25
Source[1],384PP_AQ_BP,G1,Destination[1],A9,275
Source[1],384PP_AQ_BP,H2,Destination[1],A9,1000
Source[1],384PP_AQ_BP,I2,Destination[1],A9,750
Source[1],384PP_AQ_BP,J1,Destination[1],A9,500
Source[1],384PP_AQ_BP,O1,Destination[1],A9,50
Source[1],384PP_AQ_BP,P3,Destination[1],A9,1000
Source[1],384PP_AQ_BP,B4,Destination[1],A9,25
Source[1],384PP_AQ_BP,D6,Destination[1],A9,25
Source[1],384PP_AQ_BP,A5,Destination[1],A9,25
Source[1],384PP_AQ_BP,B1,Destination[1],A10,500
Source[1],384PP_AQ_BP,D1,Destination[1],A10,500
Source[1],384PP_AQ_BP,F1,Destination[1],A10,25
Source[1],384PP_AQ_BP,G1,Destination[1],A10,275
Source[1],384PP_AQ_BP,H2,Destination[1],A10,1000
Source[1],384PP_AQ_BP,I2,Destination[1],A10,750
Source[1],384PP_AQ_BP,J1,Destination[1],A10,500
Source[1],384PP_AQ_BP,O1,Destination[1],A10,50
Source[1],384PP_AQ_BP,P3,Destination[1],A10,1000
Source[1],384PP_AQ_BP,B4,Destination[1],A10,25
Source[1],384PP_AQ_BP,D6,Destination[1],A10,25
Source[1],384PP_AQ_BP,A5,Destination[1],A10,25
Source[1],384PP_AQ_BP,B1,Destination[1],B9,500
Source[1],384PP_AQ_BP,D1,Destination[1],B9,500
Source[1],384PP_AQ_BP,F1,Destination[1],B9,25
Source[1],384PP_AQ_BP,G1,Destination[1],B9,275
Source[1],384PP_AQ_BP,H2,Destination[1],B9,1000
Source[1],384PP_AQ_BP,I2,Destination[1],B9,750
Source[1],384PP_AQ_BP,J1,Destination[1],B9,500
Source[1],384PP_AQ_BP,O1,Destination[1],B9,50
Source[1],384PP_AQ_BP,P3,Destination[1],B9,1000
Source[1],384PP_AQ_BP,B4,Destination[1],B9,25
Source[1],384PP_AQ_BP,D6,Destination[1],B9,25
Source[1],384PP_AQ_BP,A5,Destination[1],B9,25
Source[1],384PP_AQ_BP,B1,Destination[1],B10,500
Source[1],384PP_AQ_BP,D1,Destination[1],B10,500
Source[1],384PP_AQ_BP,F1,Destination[1],B10,25
Source[1],384PP_AQ_BP,G1,Destination[1],B10,275
Source[1],384PP_AQ_BP,H2,Destination[1],B10,1000
Source[1],384PP_AQ_BP,I2,Destination[1],B10,750
Source[1],384PP_AQ_BP,J1,Destination[1],B10,500
Source[1],384PP_AQ_BP,O1,Destination[1],B10,50
Source[1],384PP_AQ_BP,P3,Destination[1],B10,1000
Source[1],384PP_AQ_BP,B4,Destination[1],B10,25
Source[1],384PP_AQ_BP,D6,Destination[1],B10,25
Source[1],384PP_AQ_BP,A5,Destination[1],B10,25
Source[1],384PP_AQ_BP,B1,Destination[1],C9,500
Source[1],384PP_AQ_BP,D1,Destination[1],C9,500
Source[1],384PP_AQ_BP,F1,Destination[1],C9,25
Source[1],384PP_AQ_BP,G1,Destination[1],C9,275
Source[1],384PP_AQ_BP,H2,Destination[1],C9,1000
Source[1],384PP_AQ_BP,I2,Destination[1],C9,750
Source[1],384PP_AQ_BP,J1,Destination[1],C9,500
Source[1],384PP_AQ_BP,O1,Destination[1],C9,50
Source[1],384PP_AQ_BP,P3,Destination[1],C9,1000
Source[1],384PP_AQ_BP,B4,Destination[1],C9,25
Source[1],384PP_AQ_BP,D6,Destination[1],C9,25
Source[1],384PP_AQ_BP,A5,Destination[1],C9,25
Source[1],384PP_AQ_BP,B1,Destination[1],C10,500
Source[1],384PP_AQ_BP,D1,Destination[1],C10,500
Source[1],384PP_AQ_BP,F1,Destination[1],C10,25
Source[1],384PP_AQ_BP,G1,Destination[1],C10,275
Source[1],384PP_AQ_BP,H2,Destination[1],C10,1000
Source[1],384PP_AQ_BP,I2,Destination[1],C10,750
Source[1],384PP_AQ_BP,J2,Destination[1],C10,500
Source[1],384PP_AQ_BP,O1,Destination[1],C10,50
Source[1],384PP_AQ_BP,P3,Destination[1],C10,1000
Source[1],384PP_AQ_BP,B4,Destination[1],C10,25
Source[1],384PP_AQ_BP,D6,Destination[1],C10,25
Source[1],384PP_AQ_BP,A5,Destination[1],C10,25
Source[1],384PP_AQ_BP,B1,Destination[1],A11,500
Source[1],384PP_AQ_BP,D1,Destination[1],A11,500
Source[1],384PP_AQ_BP,F1,Destination[1],A11,25
Source[1],384PP_AQ_BP,G1,Destination[1],A11,275
Source[1],384PP_AQ_BP,H2,Destination[1],A11,1000
Source[1],384PP_AQ_BP,I2,Destination[1],A11,750
Source[1],384PP_AQ_BP,J2,Destination[1],A11,500
Source[1],384PP_AQ_BP,O1,Destination[1],A11,50
Source[1],384PP_AQ_BP,P3,Destination[1],A11,1000
Source[1],384PP_AQ_BP,B4,Destination[1],A11,25
Source[1],384PP_AQ_BP,D6,Destination[1],A11,25
Source[1],384PP_AQ_BP,A5,Destination[1],A11,25
Source[1],384PP_AQ_BP,B1,Destination[1],A12,500
Source[1],384PP_AQ_BP,D1,Destination[1],A12,500
Source[1],384PP_AQ_BP,F1,Destination[1],A12,25
Source[1],384PP_AQ_BP,G1,Destination[1],A12,275
Source[1],384PP_AQ_BP,H2,Destination[1],A12,1000
Source[1],384PP_AQ_BP,I2,Destination[1],A12,750
Source[1],384PP_AQ_BP,J2,Destination[1],A12,500
Source[1],384PP_AQ_BP,O1,Destination[1],A12,50
Source[1],384PP_AQ_BP,P3,Destination[1],A12,1000
Source[1],384PP_AQ_BP,B4,Destination[1],A12,25
Source[1],384PP_AQ_BP,D6,Destination[1],A12,25
Source[1],384PP_AQ_BP,A5,Destination[1],A12,25
Source[1],384PP_AQ_BP,B1,Destination[1],B11,500
Source[1],384PP_AQ_BP,D1,Destination[1],B11,500
Source[1],384PP_AQ_BP,F1,Destination[1],B11,25
Source[1],384PP_AQ_BP,G1,Destination[1],B11,275
Source[1],384PP_AQ_BP,H2,Destination[1],B11,1000
Source[1],384PP_AQ_BP,I2,Destination[1],B11,750
Source[1],384PP_AQ_BP,J2,Destination[1],B11,500
Source[1],384PP_AQ_BP,O1,Destination[1],B11,50
Source[1],384PP_AQ_BP,P3,Destination[1],B11,1000
Source[1],384PP_AQ_BP,B4,Destination[1],B11,25
Source[1],384PP_AQ_BP,D6,Destination[1],B11,25
Source[1],384PP_AQ_BP,A5,Destination[1],B11,25
Source[1],384PP_AQ_BP,B1,Destination[1],B12,500
Source[1],384PP_AQ_BP,D1,Destination[1],B12,500
Source[1],384PP_AQ_BP,F1,Destination[1],B12,25
Source[1],384PP_AQ_BP,G1,Destination[1],B12,275
Source[1],384PP_AQ_BP,H2,Destination[1],B12,1000
Source[1],384PP_AQ_BP,I2,Destination[1],B12,750
Source[1],384PP_AQ_BP,J2,Destination[1],B12,500
Source[1],384PP_AQ_BP,O1,Destination[1],B12,50
Source[1],384PP_AQ_BP,P3,Destination[1],B12,1000
Source[1],384PP_AQ_BP,B4,Destination[1],B12,25
Source[1],384PP_AQ_BP,D6,Destination[1],B12,25
Source[1],384PP_AQ_BP,A5,Destination[1],B12,25
Source[1],384PP_AQ_BP,B1,Destination[1],C11,500
Source[1],384PP_AQ_BP,D1,Destination[1],C11,500
Source[1],384PP_AQ_BP,F1,Destination[1],C11,25
Source[1],384PP_AQ_BP,G1,Destination[1],C11,275
Source[1],384PP_AQ_BP,H2,Destination[1],C11,1000
Source[1],384PP_AQ_BP,I2,Destination[1],C11,750
Source[1],384PP_AQ_BP,J2,Destination[1],C11,500
Source[1],384PP_AQ_BP,O1,Destination[1],C11,50
Source[1],384PP_AQ_BP,P3,Destination[1],C11,1000
Source[1],384PP_AQ_BP,B4,Destination[1],C11,25
Source[1],384PP_AQ_BP,D6,Destination[1],C11,25
Source[1],384PP_AQ_BP,A5,Destination[1],C11,25
Source[1],384PP_AQ_BP,B1,Destination[1],C12,500
Source[1],384PP_AQ_BP,D1,Destination[1],C12,500
Source[1],384PP_AQ_BP,F1,Destination[1],C12,25
Source[1],384PP_AQ_BP,G1,Destination[1],C12,275
Source[1],384PP_AQ_BP,H2,Destination[1],C12,1000
Source[1],384PP_AQ_BP,I2,Destination[1],C12,750
Source[1],384PP_AQ_BP,J2,Destination[1],C12,500
Source[1],384PP_AQ_BP,O1,Destination[1],C12,50
Source[1],384PP_AQ_BP,P3,Destination[1],C12,1000
Source[1],384PP_AQ_BP,B4,Destination[1],C12,25
Source[1],384PP_AQ_BP,D6,Destination[1],C12,25
Source[1],384PP_AQ_BP,A5,Destination[1],C12,25
Source[1],384PP_AQ_BP,B1,Destination[1],D5,500
Source[1],384PP_AQ_BP,D1,Destination[1],D5,500
Source[1],384PP_AQ_BP,F1,Destination[1],D5,25
Source[1],384PP_AQ_BP,I2,Destination[1],D5,750
Source[1],384PP_AQ_BP,O1,Destination[1],D5,50
Source[1],384PP_AQ_BP,B3,Destination[1],D5,250
Source[1],384PP_AQ_BP,O3,Destination[1],D5,500
Source[1],384PP_AQ_BP,J4,Destination[1],D5,250
Source[1],384PP_AQ_BP,B4,Destination[1],D5,25
Source[1],384PP_AQ_BP,A5,Destination[1],D5,25
Source[1],384PP_AQ_BP,B1,Destination[1],D6,500
Source[1],384PP_AQ_BP,D1,Destination[1],D6,500
Source[1],384PP_AQ_BP,F1,Destination[1],D6,25
Source[1],384PP_AQ_BP,I2,Destination[1],D6,750
Source[1],384PP_AQ_BP,O1,Destination[1],D6,50
Source[1],384PP_AQ_BP,B3,Destination[1],D6,250
Source[1],384PP_AQ_BP,O3,Destination[1],D6,500
Source[1],384PP_AQ_BP,J4,Destination[1],D6,250
Source[1],384PP_AQ_BP,B4,Destination[1],D6,25
Source[1],384PP_AQ_BP,A5,Destination[1],D6,25
