Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A7,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A8,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B7,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B8,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C7,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C8,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A9,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A10,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B9,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B10,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C9,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C10,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A11,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A12,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B11,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B12,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C11,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C12,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D5,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D6,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E5,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E6,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F5,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F6,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D7,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D8,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E7,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E8,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F7,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F8,17125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D9,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D10,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E9,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E10,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F9,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F10,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D11,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D12,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E11,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E12,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F11,15325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F12,15325.0
