"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_1.d"," -ESI EIC(456.1632) Scan Frag=175.0V 1_1.d "
"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_1.d" ,"1" ,3.007,3.012,3.022,1011.07,324.20,100.00,100.00,100.00,0.015,2.440,142.93,142.93,0.053,3.006,3.018,10.988,142.93,142.93,0.00,1154.00,,,  ,237.0904,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_2.d"," -ESI EIC(456.1632) Scan Frag=175.0V 1_2.d "
"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_2.d" ,"1" ,3.088,3.093,3.103,812.91,241.85,100.00,100.00,100.00,0.015,2.085,128.21,128.21,0.062,3.088,3.099,10.952,128.21,128.21,0.00,941.12,,,  ,248.9634,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_3.d"," -ESI EIC(456.1632) Scan Frag=175.0V 1_3.d "
"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_3.d" ,"1" ,3.025,3.036,3.041,1160.92,370.22,100.00,100.00,100.00,0.015,0.224,128.61,128.61,0.060,3.024,3.041,10.967,128.61,128.61,0.02,1289.53,,,  ,248.9634,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230717_fdh\2_1.d"," -ESI EIC(456.1632) Scan Frag=175.0V 2_1.d "
