"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_1.d"," -ESI EIC(663.1086) Scan Frag=175.0V 1_1.d "
"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_1.d" ,"1" ,4.657,4.724,4.918,87619.41,371352.53,100.00,100.00,100.00,0.260,0.058,0.00,2635.51,0.053,4.657,5.123,10.954,0.00,0.00,2.15,87619.41,,,  ,248.9634,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_2.d"," -ESI EIC(663.1086) Scan Frag=175.0V 1_2.d "
"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_2.d" ,"1" ,4.628,4.711,4.910,83792.26,332091.61,100.00,100.00,100.00,0.283,0.055,0.00,1575.81,0.062,4.650,5.027,10.936,0.00,0.00,1.95,83792.26,,,  ,248.9634,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_3.d"," -ESI EIC(663.1086) Scan Frag=175.0V 1_3.d "
"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230717_fdh\1_3.d" ,"1" ,4.614,4.703,4.875,80519.41,312777.53,100.00,100.00,100.00,0.260,0.053,0.00,2919.41,0.060,4.626,5.047,10.983,0.00,0.00,1.64,80519.41,,,  ,248.9634,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230717_fdh\2_1.d"," -ESI EIC(663.1086) Scan Frag=175.0V 2_1.d "
"D:\Projects\Marchand\Data\Carothers\230717_fdh\2_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230717_fdh\2_1.d" ,"1" ,4.589,4.666,4.816,74000.24,277549.76,100.00,100.00,100.00,0.226,0.051,150.57,3484.84,0.056,4.605,4.993,10.902,150.57,150.57,2.08,74150.81,,,  ,248.9634,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230717_fdh\2_2.d"," -ESI EIC(663.1086) Scan Frag=175.0V 2_2.d "
"D:\Projects\Marchand\Data\Carothers\230717_fdh\2_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230717_fdh\2_2.d" ,"1" ,4.579,4.645,4.883,60877.03,269436.35,100.00,100.00,100.00,0.305,0.056,376.00,1540.94,0.063,4.584,5.044,10.903,214.25,214.25,3.16,61091.29,,,  ,248.9634,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230717_fdh\2_3.d"," -ESI EIC(663.1086) Scan Frag=175.0V 2_3.d "
