Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,G1,Destination[1],A4,275.0
Source[1],384PP_AQ_BP,J4,Destination[1],A4,250.0
Source[3],384PP_AQ_BP,C5,Destination[1],A4,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],A5,275.0
Source[1],384PP_AQ_BP,J4,Destination[1],A5,250.0
Source[3],384PP_AQ_BP,C5,Destination[1],A5,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],A6,275.0
Source[1],384PP_AQ_BP,J4,Destination[1],A6,250.0
Source[3],384PP_AQ_BP,C5,Destination[1],A6,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],B4,275.0
Source[1],384PP_AQ_BP,O3,Destination[1],B4,500.0
Source[1],384PP_AQ_BP,J4,Destination[1],B4,250.0
Source[3],384PP_AQ_BP,C5,Destination[1],B4,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],B5,275.0
Source[1],384PP_AQ_BP,O3,Destination[1],B5,500.0
Source[1],384PP_AQ_BP,J4,Destination[1],B5,250.0
Source[3],384PP_AQ_BP,C5,Destination[1],B5,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],B6,275.0
Source[1],384PP_AQ_BP,O3,Destination[1],B6,500.0
Source[1],384PP_AQ_BP,J4,Destination[1],B6,250.0
Source[3],384PP_AQ_BP,C5,Destination[1],B6,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],C4,275.0
Source[1],384PP_AQ_BP,P3,Destination[1],C4,1000.0
Source[1],384PP_AQ_BP,J4,Destination[1],C4,250.0
Source[3],384PP_AQ_BP,C5,Destination[1],C4,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],C5,275.0
Source[1],384PP_AQ_BP,P3,Destination[1],C5,1000.0
Source[1],384PP_AQ_BP,J4,Destination[1],C5,250.0
Source[3],384PP_AQ_BP,C5,Destination[1],C5,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],C6,275.0
Source[1],384PP_AQ_BP,P3,Destination[1],C6,1000.0
Source[1],384PP_AQ_BP,J4,Destination[1],C6,250.0
Source[3],384PP_AQ_BP,C5,Destination[1],C6,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],D4,275.0
Source[1],384PP_AQ_BP,J4,Destination[1],D4,250.0
Source[3],384PP_AQ_BP,C6,Destination[1],D4,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],D5,275.0
Source[1],384PP_AQ_BP,J4,Destination[1],D5,250.0
Source[3],384PP_AQ_BP,C6,Destination[1],D5,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],D6,275.0
Source[1],384PP_AQ_BP,J4,Destination[1],D6,250.0
Source[3],384PP_AQ_BP,C6,Destination[1],D6,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],E4,275.0
Source[1],384PP_AQ_BP,O3,Destination[1],E4,500.0
Source[1],384PP_AQ_BP,J4,Destination[1],E4,250.0
Source[3],384PP_AQ_BP,C6,Destination[1],E4,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],E5,275.0
Source[1],384PP_AQ_BP,O3,Destination[1],E5,500.0
Source[1],384PP_AQ_BP,J4,Destination[1],E5,250.0
Source[3],384PP_AQ_BP,C6,Destination[1],E5,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],E6,275.0
Source[1],384PP_AQ_BP,O3,Destination[1],E6,500.0
Source[1],384PP_AQ_BP,J4,Destination[1],E6,250.0
Source[3],384PP_AQ_BP,C6,Destination[1],E6,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],F4,275.0
Source[1],384PP_AQ_BP,P3,Destination[1],F4,1000.0
Source[1],384PP_AQ_BP,J4,Destination[1],F4,250.0
Source[3],384PP_AQ_BP,C6,Destination[1],F4,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],F5,275.0
Source[1],384PP_AQ_BP,P3,Destination[1],F5,1000.0
Source[1],384PP_AQ_BP,J4,Destination[1],F5,250.0
Source[3],384PP_AQ_BP,C6,Destination[1],F5,2500.0
Source[1],384PP_AQ_BP,G1,Destination[1],F6,275.0
Source[1],384PP_AQ_BP,P3,Destination[1],F6,1000.0
Source[1],384PP_AQ_BP,J4,Destination[1],F6,250.0
Source[3],384PP_AQ_BP,C6,Destination[1],F6,2500.0
