Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A1,18675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B1,18675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C1,18675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A2,14150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B2,14150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C2,14150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A3,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B3,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C3,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A4,11850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B4,11850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C4,11850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,18175.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,18175.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,18175.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,13650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,13650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,13650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A7,11400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B7,11400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C7,11400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A8,11350.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B8,11350.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C8,11350.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A9,18675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B9,18675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C9,18675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A10,14150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B10,14150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C10,14150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A11,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B11,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C11,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A12,11850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B12,11850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C12,11850.0
