"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_1.d"," -ESI EIC(663.1086) Scan Frag=175.0V noTHF_10_1.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_1.d" ,"1" ,4.547,4.630,4.857,113081.54,540479.99,100.00,100.00,100.00,0.310,0.060,0.00,3693.72,0.553,4.564,5.157,10.988,0.00,0.00,2.92,113081.54,,,  ,248.9716,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_2.d"," -ESI EIC(663.1086) Scan Frag=175.0V noTHF_10_2.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_2.d" ,"1" ,4.558,4.619,4.924,106702.92,551794.46,100.00,100.00,100.00,0.366,0.062,0.00,1621.44,4.270,4.558,5.361,10.988,0.00,0.00,4.29,106702.92,,,  ,248.9716,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_3.d"," -ESI EIC(663.1086) Scan Frag=175.0V noTHF_10_3.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_3.d" ,"1" ,4.557,4.624,4.879,112049.70,558962.64,100.00,100.00,100.00,0.321,0.063,1043.07,3042.03,4.231,4.552,5.566,10.987,0.00,0.00,3.38,112049.70,,,  ,248.9716,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_25_1.d"," -ESI EIC(663.1086) Scan Frag=175.0V noTHF_25_1.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_25_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_25_1.d" ,"1" ,4.590,4.651,4.851,94884.98,405695.45,100.00,100.00,100.00,0.260,0.055,711.77,3633.00,4.269,4.590,5.034,10.987,232.71,244.86,2.63,95120.53,,,  ,248.9716,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_25_2.d"," -ESI EIC(663.1086) Scan Frag=175.0V noTHF_25_2.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_25_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_25_2.d" ,"1" ,4.560,4.638,4.837,94274.19,410391.57,100.00,100.00,100.00,0.277,0.054,0.00,2964.05,4.267,4.571,5.086,10.985,0.00,0.00,2.50,94274.19,,,  ,248.9716,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_25_3.d"," -ESI EIC(663.1086) Scan Frag=175.0V noTHF_25_3.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_25_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_25_3.d" ,"1" ,4.550,4.638,4.838,89395.60,410549.20,100.00,100.00,100.00,0.288,0.058,0.00,4082.94,0.555,4.566,5.104,10.985,0.00,0.00,2.53,89395.60,,,  ,248.9716,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_50_1.d"," -ESI EIC(663.1086) Scan Frag=175.0V noTHF_50_1.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_50_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_50_1.d" ,"1" ,4.895,4.956,5.189,147751.58,691399.36,100.00,100.00,100.00,0.294,0.060,0.00,3835.07,0.552,4.895,5.588,6.557,0.00,0.00,3.19,147751.58,,,  ,248.9625,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_50_2.d"," -ESI EIC(663.1086) Scan Frag=175.0V noTHF_50_2.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_50_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_50_2.d" ,"1" ,4.639,4.700,4.905,114269.05,483963.20,100.00,100.00,100.00,0.266,0.055,1054.83,5583.67,0.545,4.628,5.171,10.986,0.00,0.00,2.48,114269.05,,,  ,248.9716,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_50_3.d"," -ESI EIC(663.1086) Scan Frag=175.0V noTHF_50_3.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_50_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_50_3.d" ,"1" ,4.614,4.697,4.929,103326.73,442598.21,100.00,100.00,100.00,0.316,0.058,0.00,2541.93,4.320,4.625,5.173,10.988,0.00,0.00,2.22,103326.73,,,  ,248.9716,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_neg.d"," -ESI EIC(663.1086) Scan Frag=175.0V noTHF_neg.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_neg.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
