"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_1.d"," -ESI EIC(664.1170) Scan Frag=175.0V noTHF_10_1.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_1.d" ,"1" ,4.170,4.231,4.425,1629767.69,5012491.20,,,,0.255,0.047,4032.11,7009.56,0.553,4.148,4.458,4.586,1854.99,3153.91,1.71,1631933.25,,,  ,664.1081,,,,,,,,S,,,,

"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_2.d"," -ESI EIC(664.1170) Scan Frag=175.0V noTHF_10_2.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_2.d" ,"1" ,4.176,4.237,4.375,1569242.19,4693724.41,,,,0.199,0.046,4521.66,13945.94,0.552,4.148,4.497,4.586,651.40,1200.61,1.33,1570061.38,,,  ,664.1081,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_3.d"," -ESI EIC(664.1170) Scan Frag=175.0V noTHF_10_3.d "
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230731_THF\noTHF_10_3.d" ,"1" ,4.170,4.231,4.391,1500674.18,4298747.25,,,,0.222,0.044,4411.86,10210.35,0.552,4.142,4.463,4.585,573.34,808.76,1.59,1501312.25,,,  ,664.1081,,,,,,,,,,,,
