Sample Name,Sample Position,Method,Data File
Fdh_1,P3-A1,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_1
Fdh_2,P3-B1,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_2
Fdh_3,P3-C1,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_3
Fdh_mdh_1,P3-A2,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_mdh_1
Fdh_mdh_2,P3-B2,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_mdh_2
Fdh_mdh_3,P3-C2,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_mdh_3
Fdh_THF_1,P3-A5,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_THF_1
Fdh_THF_mdh_1,P3-A6,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_THF_mdh_1
Fdh_THF_2,P3-B5,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_THF_2
Fdh_THF_mdh_2,P3-B6,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_THF_mdh_2
Fdh_THF_3,P3-C5,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_THF_3
Fdh_THF_mdh_3,P3-C6,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_THF_mdh_3
fdh_neg_1,P3-A9,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/fdh_neg_1
fdh_mdh_neg_1,P3-A10,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/fdh_mdh_neg_1
fdh_neg_2,P3-B9,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/fdh_neg_2
fdh_mdh_neg_2,P3-B10,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/fdh_mdh_neg_2
fdh_neg_3,P3-C9,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/fdh_neg_3
fdh_mdh_neg_3,P3-C10,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/fdh_mdh_neg_3
Fdh_mdh_pyc_1,P3-A3,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_mdh_pyc_1
Fdh_mdh_pyc_sds_1,P3-A4,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_mdh_pyc_sds_1
Fdh_THF_mdh_pyc_1,P3-A7,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_THF_mdh_pyc_1
Fdh_THF_mdh_pyc_sds_1,P3-A8,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_THF_mdh_pyc_sds_1
fdh_mdh_pyc_neg_1,P3-A11,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/fdh_mdh_pyc_neg_1
fdh_mdh_pyc_sds_neg_1,P3-A12,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/fdh_mdh_pyc_sds_neg_1
Fdh_mdh_pyc_2,P3-B3,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_mdh_pyc_2
Fdh_mdh_pyc_sds_2,P3-B4,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_mdh_pyc_sds_2
Fdh_THF_mdh_pyc_2,P3-B7,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_THF_mdh_pyc_2
Fdh_THF_mdh_pyc_sds_2,P3-B8,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_THF_mdh_pyc_sds_2
fdh_mdh_pyc_neg_2,P3-B11,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/fdh_mdh_pyc_neg_2
fdh_mdh_pyc_sds_neg_2,P3-B12,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/fdh_mdh_pyc_sds_neg_2
Fdh_mdh_pyc_3,P3-C3,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_mdh_pyc_3
Fdh_mdh_pyc_sds_3,P3-C4,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_mdh_pyc_sds_3
Fdh_THF_mdh_pyc_3,P3-C7,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_THF_mdh_pyc_3
Fdh_THF_mdh_pyc_sds_3,P3-C8,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/Fdh_THF_mdh_pyc_sds_3
fdh_mdh_pyc_neg_3,P3-C11,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/fdh_mdh_pyc_neg_3
fdh_mdh_pyc_sds_neg_3,P3-C12,Carothers/BEHamide_A1B1_95to60organic_col_pos1.m,D:/Projects/Marchand/Data/Carothers/230720_thf/fdh_mdh_pyc_sds_neg_3
