"D:\Projects\Marchand\Data\Carothers\230815\full_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V full_1.d "
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"1" ,0.556,0.589,0.645,2244.29,5811.25,9.54,12.24,5.52,0.041,,0.00,1826.23,,,,,0.00,0.00,0.35,2491.90,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"2" ,0.645,0.655,0.715,1939.90,5314.45,8.72,10.58,5.05,0.046,,1826.23,0.00,,,,,0.00,0.00,0.22,1971.21,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"3" ,0.715,0.790,0.842,3031.41,13178.20,21.63,16.53,12.52,0.072,,0.00,0.00,,,,,0.00,0.00,1.11,2369.72,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"4" ,0.842,0.859,0.884,2177.45,2837.78,4.66,11.87,2.70,0.022,,0.00,0.00,,,,,0.00,0.00,0.96,2330.36,,,  ,190.0284,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"5" ,0.884,0.944,0.995,18342.82,60926.51,100.00,100.00,57.87,0.045,,0.00,3951.05,,,,,0.00,109.26,0.80,18784.35,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"6" ,0.995,1.004,1.013,3914.73,3206.63,5.26,21.34,3.05,0.014,,3951.05,3242.98,,,,,109.26,126.89,0.93,3938.67,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"7" ,1.013,1.034,1.080,3180.05,8501.78,13.95,17.34,8.08,0.045,,3242.98,1047.33,,,,,126.89,193.75,0.76,3547.90,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"8" ,1.080,1.099,1.164,2060.61,4583.89,7.52,11.23,4.35,0.032,,1047.33,0.00,,,,,193.75,276.60,0.47,2114.43,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"9" ,1.164,1.174,1.185,1486.88,912.32,1.50,8.11,0.87,0.010,,0.00,666.01,,,,,276.60,297.70,1.14,1706.70,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\full_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V full_2.d "
"D:\Projects\Marchand\Data\Carothers\230815\full_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\full_2.d" ,"1" ,0.566,0.613,0.645,1957.80,5249.37,8.57,10.64,5.43,0.039,,0.00,0.00,,,,,0.00,0.00,0.81,1869.69,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_2.d" ,"2" ,0.645,0.656,0.666,2432.29,1595.08,2.60,13.22,1.65,0.011,,0.00,984.90,,,,,0.00,0.00,0.94,2268.94,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_2.d" ,"3" ,0.666,0.678,0.756,2577.90,7919.90,12.93,14.01,8.20,0.051,,984.90,976.15,,,,,0.00,0.00,0.17,1925.49,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_2.d" ,"4" ,0.756,0.765,0.787,1651.31,1863.30,3.04,8.98,1.93,0.019,,976.15,1633.10,,,,,0.00,0.00,0.54,1237.14,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_2.d" ,"5" ,0.787,0.800,0.820,2407.26,3766.15,6.15,13.09,3.90,0.026,,1633.10,1696.47,,,,,0.00,0.00,0.50,2063.01,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_2.d" ,"6" ,0.820,0.829,0.873,2348.75,4738.23,7.74,12.77,4.90,0.034,,1696.47,0.00,,,,,0.00,0.00,0.33,2458.35,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_2.d" ,"7" ,0.890,0.947,1.038,18394.80,61246.99,100.00,100.00,63.40,0.048,,0.00,1553.64,,,,,21.86,205.99,0.78,15581.02,,,  ,248.9694,,,,,,,,,,,,
