Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A9,16875.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A10,16875.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B9,13575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B10,13575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C9,15675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C10,15675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D9,15675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D10,15675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E9,13575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E10,13575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F9,13575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F10,13575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G9,16575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G10,16575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H7,13575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H8,13575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H9,16875.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H10,16875.0
