"D:\Projects\Marchand\Data\Carothers\230817\glyA_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V glyA_1.d "
"D:\Projects\Marchand\Data\Carothers\230817\glyA_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230817\glyA_1.d" ,"1" ,3.589,3.622,3.883,126491,540752,100.00,100.00,100.00,0.294,,0,3056,0,0,,126491,,100.00,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230817\glyA_2.d"," -ESI EIC(133.0136) Scan Frag=175.0V glyA_2.d "
"D:\Projects\Marchand\Data\Carothers\230817\glyA_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230817\glyA_2.d" ,"1" ,3.586,3.619,3.841,243832,1127755,100.00,100.00,100.00,0.255,,0,7988,0,2487,,244157,,99.87,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230817\glyA-neg_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V glyA-neg_1.d "
"D:\Projects\Marchand\Data\Carothers\230817\glyA-neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230817\glyA-neg_1.d" ,"1" ,3.580,3.635,3.879,55418,264508,100.00,100.00,100.00,0.299,,0,2916,0,-282,,55366,,100.09,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230817\glyA-neg_2.d"," -ESI EIC(133.0136) Scan Frag=175.0V glyA-neg_2.d "
"D:\Projects\Marchand\Data\Carothers\230817\glyA-neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230817\glyA-neg_2.d" ,"1" ,3.518,3.623,4.000,50534,267532,100.00,100.00,100.00,0.482,,1425,0,1425,0,,51648,,97.84,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230817\init.d"," -ESI EIC(133.0136) Scan Frag=175.0V init.d "
"D:\Projects\Marchand\Data\Carothers\230817\init.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230817\init.d" ,"1" ,4.038,4.049,4.060,1008,705,100.00,100.00,100.00,0.022,,0,0,0,0,,1008,,,BB,248.9724,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230817\mod1_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod1_1.d "
"D:\Projects\Marchand\Data\Carothers\230817\mod1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230817\mod1_1.d" ,"1" ,3.909,4.097,4.363,7398,100381,100.00,100.00,100.00,0.454,,0,771,0,-38,,7383,,100.21,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230817\mod1_2.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod1_2.d "
"D:\Projects\Marchand\Data\Carothers\230817\mod1_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230817\mod1_2.d" ,"1" ,3.899,4.010,4.326,10832,120954,100.00,100.00,100.00,0.427,,676,738,112,224,,10973,,98.72,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230817\mod1-neg_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod1-neg_1.d "
"D:\Projects\Marchand\Data\Carothers\230817\mod1-neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230817\mod1-neg_1.d" ,"1" ,3.601,3.634,3.834,61608,270285,100.00,100.00,100.00,0.233,,0,4378,0,-314,,61563,,100.07,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230817\mod1-neg_2.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod1-neg_2.d "
"D:\Projects\Marchand\Data\Carothers\230817\mod1-neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230817\mod1-neg_2.d" ,"1" ,3.589,3.633,3.883,60910,289594,100.00,100.00,100.00,0.294,,0,3864,0,310,,60957,,99.92,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230817\mod3-full_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod3-full_1.d "
"D:\Projects\Marchand\Data\Carothers\230817\mod3-full_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230817\mod3-full_1.d" ,"1" ,3.561,3.655,3.760,76369,355763,100.00,100.00,100.00,0.199,,5140,0,0,0,,76369,,100.00,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230817\mod3-full_2.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod3-full_2.d "
"D:\Projects\Marchand\Data\Carothers\230817\mod3-full_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
