,ATP,NADH,NADPH,Formate,THF,Mg-ACT,FAD,mod1_CA,mod1_AW,metf_CA,metf_AW,neg,5-methyl-THF,Std
Std_1,,,,,,,,,,,,,0.5,10
Std_2,,,,,,,,,,,,,0.25,10
Std_3,,,,,,,,,,,,,0.125,10
Std_4,,,,,,,,,,,,,0.0675,10
Std_5,,,,,,,,,,,,,0,10
mod1_nadh_CA,1,1,,25,1,2,1,10,,,,,,
mod1_nadh_AW,1,1,,25,1,2,1,,10,,,,,
mod1_nadh_neg,1,1,,25,1,2,1,,,,,10,,
mod1_nadph_CA,1,,1,25,1,2,1,10,,,,,,
mod1_nadph_AW,1,,1,25,1,2,1,,10,,,,,
mod1_nadph_neg,1,,1,25,1,2,1,,,,,10,,
metf_nadh_CA,1,1,,25,1,2,1,,,10,,,,
metf_nadh_AW,1,1,,25,1,2,1,,,,10,,,
metf_nadh_neg,1,1,,25,1,2,1,,,,,10,,
metf_nadh_FAD_CA,1,1,,25,1,2,1,,,10,,,,
metf_nadh_FAD_AW,1,1,,25,1,2,1,,,,10,,,
metf_nadh_FAD_neg,1,1,,25,1,2,1,,,,,10,,
metf_nadph_CA,1,,1,25,1,2,1,,,10,,,,
metf_nadph_AW,1,,1,25,1,2,1,,,,10,,,
metf_nadph_neg,1,,1,25,1,2,1,,,,,10,,
metf_nadph_FAD_CA,1,,1,25,1,2,1,,,10,,,,
metf_nadph_FAD_AW,1,,1,25,1,2,1,,,,10,,,
metf_nadph_FAD_neg,1,,1,25,1,2,1,,,,,10,,
