"D:\Projects\Marchand\Data\Carothers\230926\b1.d"," -ESI EIC(455.1553) Scan Frag=175.0V b1.d "
"D:\Projects\Marchand\Data\Carothers\230926\b1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230926\b1.d" ,"1" ,2.914,2.925,2.931,961.50,637.58,100.00,100.00,100.00,0.017,2.345,0.00,0.00,0.549,2.925,2.925,6.553,0.00,0.00,0.00,961.50,,,  ,248.9632,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230926\blank1.d"," -ESI EIC(455.1553) Scan Frag=175.0V blank1.d "
"No integration results available"
"D:\Projects\Marchand\Data\Carothers\230926\blank10.d"," -ESI EIC(455.1553) Scan Frag=175.0V blank10.d "
"D:\Projects\Marchand\Data\Carothers\230926\blank10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230926\blank10.d" ,"1" ,4.927,4.933,4.944,1024.26,548.19,100.00,100.00,100.00,0.017,4.014,0.00,0.00,0.058,4.927,4.938,10.985,0.00,0.00,0.00,1024.26,,,  ,96.9572,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230926\blank110.d"," -ESI EIC(455.1553) Scan Frag=175.0V blank110.d "
"No integration results available"
"D:\Projects\Marchand\Data\Carothers\230926\blank2.d"," -ESI EIC(455.1553) Scan Frag=175.0V blank2.d "
"D:\Projects\Marchand\Data\Carothers\230926\blank2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230926\blank2.d" ,"1" ,0.723,0.729,0.740,1244.06,777.08,100.00,100.00,100.00,0.017,0.133,0.00,0.00,0.546,0.723,0.734,6.556,0.00,0.00,0.08,1244.06,,,  ,417.0681,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230926\blank3.d"," -ESI EIC(455.1553) Scan Frag=175.0V blank3.d "
"No integration results available"
"D:\Projects\Marchand\Data\Carothers\230926\blank4.d"," -ESI EIC(455.1553) Scan Frag=175.0V blank4.d "
"D:\Projects\Marchand\Data\Carothers\230926\blank4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230926\blank4.d" ,"1" ,1.175,1.180,1.191,803.72,525.59,100.00,100.00,100.00,0.017,0.554,0.00,0.00,0.543,1.175,1.186,10.999,0.00,0.00,0.02,803.72,,,  ,248.9632,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230926\blank5.d"," -ESI EIC(455.1553) Scan Frag=175.0V blank5.d "
"No integration results available"
"D:\Projects\Marchand\Data\Carothers\230926\blank55.d"," -ESI EIC(455.1553) Scan Frag=175.0V blank55.d "
"D:\Projects\Marchand\Data\Carothers\230926\blank55.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230926\blank55.d" ,"1" ,1.210,1.216,1.227,821.01,514.08,100.00,100.00,100.00,0.017,0.625,0.00,0.00,0.546,1.210,1.221,6.555,0.00,0.00,0.02,821.01,,,  ,248.9632,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230926\blank6.d"," -ESI EIC(455.1553) Scan Frag=175.0V blank6.d "
"D:\Projects\Marchand\Data\Carothers\230926\blank6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230926\blank6.d" ,"1" ,4.927,4.933,4.944,810.25,486.03,100.00,100.00,100.00,0.017,4.126,0.00,0.00,0.546,4.927,4.938,6.556,0.00,0.00,0.00,810.25,,,  ,96.9572,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230926\blank7.d"," -ESI EIC(455.1553) Scan Frag=175.0V blank7.d "
"D:\Projects\Marchand\Data\Carothers\230926\blank7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230926\blank7.d" ,"1" ,0.622,0.633,0.639,856.04,557.96,100.00,100.00,100.00,0.017,0.062,0.00,0.00,0.056,0.633,0.633,10.984,0.00,0.00,0.08,856.04,,,  ,417.0681,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230926\blank8.d"," -ESI EIC(455.1553) Scan Frag=175.0V blank8.d "
"D:\Projects\Marchand\Data\Carothers\230926\blank8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230926\blank8.d" ,"1" ,4.173,4.184,4.190,652.09,367.49,100.00,100.00,100.00,0.017,3.479,0.00,0.00,0.057,4.184,4.184,10.984,0.00,0.00,0.00,652.09,,,  ,248.9632,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230926\blank9.d"," -ESI EIC(455.1553) Scan Frag=175.0V blank9.d "
"D:\Projects\Marchand\Data\Carothers\230926\blank9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230926\blank9.d" ,"1" ,5.060,5.071,5.076,971.60,596.93,100.00,100.00,100.00,0.017,4.359,0.00,0.00,0.057,5.071,5.071,10.985,0.00,0.00,0.00,971.60,,,  ,76.9652,,,,,,,,,,,,

