"D:\Projects\Marchand\Data\Carothers\231010_mod1\l_1.d"," -ESI EIC(744.0833) Scan Frag=175.0V l_1.d "
"D:\Projects\Marchand\Data\Carothers\231010_mod1\l_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231010_mod1\l_1.d" ,"1" ,5.560,5.812,6.283,25994.60,306551.36,100.00,100.00,100.00,0.723,0.283,1001.70,1034.06,0.544,5.552,6.504,10.984,1254.48,1034.06,0.83,27172.21,,95.67,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231010_mod1\l_2.d"," -ESI EIC(744.0833) Scan Frag=175.0V l_2.d "
"D:\Projects\Marchand\Data\Carothers\231010_mod1\l_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231010_mod1\l_2.d" ,"1" ,5.519,5.563,6.094,73533.17,492341.49,100.00,100.00,100.00,0.575,0.049,648.00,1431.00,0.550,5.518,6.272,10.984,913.20,1431.00,3.15,74485.49,,98.72,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231010_mod1\l_3.d"," -ESI EIC(744.0833) Scan Frag=175.0V l_3.d "
"D:\Projects\Marchand\Data\Carothers\231010_mod1\l_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231010_mod1\l_3.d" ,"1" ,5.521,5.577,6.092,70415.28,506083.22,100.00,100.00,100.00,0.571,0.051,851.89,812.67,0.553,5.522,6.253,10.987,837.38,812.67,2.07,71250.25,,98.83,  ,,,,,M,,,,,,,,
