Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,B1,Destination[1],F1,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],F1,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],F1,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],F1,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],F1,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],F1,500.0
Source[3],384PP_AQ_BP,E16,Destination[1],F1,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],G1,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],G1,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],G1,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],G1,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],G1,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],G1,500.0
Source[3],384PP_AQ_BP,E16,Destination[1],G1,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],H1,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],H1,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],H1,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],H1,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],H1,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],H1,500.0
Source[3],384PP_AQ_BP,E16,Destination[1],H1,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],F2,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],F2,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],F2,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],F2,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],F2,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],F2,500.0
Source[3],384PP_AQ_BP,E17,Destination[1],F2,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],G2,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],G2,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],G2,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],G2,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],G2,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],G2,500.0
Source[3],384PP_AQ_BP,E17,Destination[1],G2,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],H2,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],H2,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],H2,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],H2,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],H2,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],H2,500.0
Source[3],384PP_AQ_BP,E17,Destination[1],H2,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],F3,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],F3,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],F3,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],F3,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],F3,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],F3,500.0
Source[3],384PP_AQ_BP,E15,Destination[1],F3,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],G3,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],G3,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],G3,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],G3,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],G3,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],G3,500.0
Source[3],384PP_AQ_BP,E15,Destination[1],G3,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],H3,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],H3,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],H3,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],H3,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],H3,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],H3,500.0
Source[3],384PP_AQ_BP,E15,Destination[1],H3,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],F4,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],F4,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],F4,250.0
Source[1],384PP_AQ_BP,B3,Destination[1],F4,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],F4,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],F4,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],F4,500.0
Source[3],384PP_AQ_BP,E19,Destination[1],F4,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],G4,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],G4,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],G4,250.0
Source[1],384PP_AQ_BP,B3,Destination[1],G4,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],G4,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],G4,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],G4,500.0
Source[3],384PP_AQ_BP,E19,Destination[1],G4,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],H4,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],H4,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],H4,250.0
Source[1],384PP_AQ_BP,B3,Destination[1],H4,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],H4,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],H4,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],H4,500.0
Source[3],384PP_AQ_BP,E19,Destination[1],H4,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],F5,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],F5,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],F5,250.0
Source[1],384PP_AQ_BP,B3,Destination[1],F5,250.0
Source[1],384PP_AQ_BP,O4,Destination[1],F5,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],F5,500.0
Source[1],384PP_AQ_BP,G4,Destination[1],F5,500.0
Source[3],384PP_AQ_BP,E18,Destination[1],F5,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],G5,500.0
Source[1],384PP_AQ_BP,D2,Destination[1],G5,500.0
