"D:\Projects\Marchand\Data\Carothers\231011\ftl_1.d"," -ESI EIC(444.1632) Scan Frag=175.0V ftl_1.d "
"D:\Projects\Marchand\Data\Carothers\231011\ftl_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231011\ftl_1.d" ,"1" ,4.877,4.932,5.004,8370.05,26054.23,100.00,100.00,100.00,0.127,0.043,0.00,0.00,0.556,4.888,4.999,6.555,0.00,0.00,1.41,8370.05,,,  ,248.9629,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231011\ftl_2.d"," -ESI EIC(444.1632) Scan Frag=175.0V ftl_2.d "
"D:\Projects\Marchand\Data\Carothers\231011\ftl_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231011\ftl_2.d" ,"1" ,4.875,4.931,4.986,8875.00,25461.17,100.00,100.00,100.00,0.111,0.044,0.00,0.00,0.555,4.887,4.986,6.554,0.00,0.00,1.20,8875.00,,,  ,248.9629,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231011\ftl_3.d"," -ESI EIC(444.1632) Scan Frag=175.0V ftl_3.d "
"D:\Projects\Marchand\Data\Carothers\231011\ftl_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231011\ftl_3.d" ,"1" ,4.887,4.921,5.037,8398.97,27264.21,100.00,100.00,100.00,0.150,0.046,0.00,0.00,0.550,4.887,5.004,6.555,0.00,0.00,2.44,8398.97,,,  ,248.9629,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231011\ftl_fch_1.d"," -ESI EIC(444.1632) Scan Frag=175.0V ftl_fch_1.d "
"D:\Projects\Marchand\Data\Carothers\231011\ftl_fch_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231011\ftl_fch_1.d" ,"1" ,4.881,4.931,5.025,7230.44,23121.44,100.00,100.00,100.00,0.144,0.049,0.00,0.00,0.555,4.886,4.981,6.554,0.00,0.00,1.20,7230.44,,,  ,248.9720,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231011\ftl_fch_2.d"," -ESI EIC(444.1632) Scan Frag=175.0V ftl_fch_2.d "
"D:\Projects\Marchand\Data\Carothers\231011\ftl_fch_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231011\ftl_fch_2.d" ,"1" ,4.876,4.920,5.031,8260.57,24286.12,100.00,100.00,100.00,0.155,0.043,0.00,0.00,0.555,4.887,5.020,6.554,0.00,0.00,1.96,8260.57,,,  ,248.9629,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231011\ftl_fch_3.d"," -ESI EIC(444.1632) Scan Frag=175.0V ftl_fch_3.d "
"D:\Projects\Marchand\Data\Carothers\231011\ftl_fch_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231011\ftl_fch_3.d" ,"1" ,4.873,4.934,5.028,7306.19,23004.18,100.00,100.00,100.00,0.155,0.043,0.00,0.00,0.553,4.890,4.984,6.557,0.00,0.00,0.98,7306.19,,,  ,248.9629,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231011\ftl_neg_1.d"," -ESI EIC(444.1632) Scan Frag=175.0V ftl_neg_1.d "
