"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_1_1.d"," -ESI EIC(808.1180) Scan Frag=175.0V acs_1_1.d "
"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_1_1.d" ,"1" ,4.769,4.852,5.057,455617.69,2053474.07,100.00,100.00,100.00,0.288,0.057,0.00,18381.04,0.542,4.791,5.916,11.000,0.00,0.00,2.71,455617.69,,,  ,403.5451,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_1_2.d"," -ESI EIC(808.1180) Scan Frag=175.0V acs_1_2.d "
"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_1_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_1_2.d" ,"1" ,4.794,4.866,4.971,12735.60,62115.84,,,,0.177,0.068,0.00,4749.89,0.556,4.794,5.176,5.193,0.00,131.48,2.05,12789.02,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_1_3.d"," -ESI EIC(808.1180) Scan Frag=175.0V acs_1_3.d "
"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_1_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_1_3.d" ,"1" ,4.795,4.861,4.977,9046.74,45552.09,,,,0.182,0.135,33.67,33.67,0.556,4.811,4.977,5.071,33.67,33.67,2.54,9080.41,,,  ,248.9655,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_2_1.d"," -ESI EIC(808.1180) Scan Frag=175.0V acs_2_1.d "
"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_2_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_2_1.d" ,"1" ,4.764,4.841,5.046,334205.50,1327485.97,100.00,100.00,100.00,0.283,0.054,0.00,6166.46,0.542,4.775,5.351,11.000,0.00,0.00,1.91,334205.50,,,  ,403.5567,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_2_2.d"," -ESI EIC(808.1180) Scan Frag=175.0V acs_2_2.d "
"D:\Projects\Marchand\Data\Carothers\231025_acs\acs_2_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
