Sample Name,Sample Position,Method,Data File
neg_3_1,P3-C10,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/neg_3_1
neg_3_2,P3-C11,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/neg_3_2
neg_3_3,P3-C12,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/neg_3_3
neg_4_1,P3-D10,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/neg_4_1
neg_4_2,P3-D11,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/neg_4_2
neg_4_3,P3-D12,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/neg_4_3
neg_5_1,P3-E10,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/neg_5_1
neg_5_2,P3-E11,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/neg_5_2
neg_5_3,P3-E12,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/neg_5_3
acs_1_1,P3-F1,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/acs_1_1
acs_1_2,P3-F2,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/acs_1_2
acs_1_3,P3-F3,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/acs_1_3
acs_4_1,P3-F4,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/acs_4_1
acs_4_2,P3-F5,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/acs_4_2
acs_4_3,P3-F6,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231025_acs/acs_4_3
