"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_1.d"," -ESI EIC(505.9879) Scan Frag=175.0V acs_1.d "
"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_1.d" ,"1" ,5.473,5.856,6.454,135761.34,3023764.86,100.00,100.00,100.00,0.981,0.295,1624.66,6736.22,4.743,5.130,6.504,6.654,1624.66,6215.65,1.07,139176.86,,,  ,248.9626,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_2.d"," -ESI EIC(505.9879) Scan Frag=175.0V acs_2.d "
"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_2.d" ,"1" ,5.512,5.874,6.542,147929.59,3066639.57,100.00,100.00,97.71,1.029,0.266,5017.67,6469.69,0.961,5.054,6.506,6.705,5017.67,6469.69,0.94,153457.52,,,  ,248.9626,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_2.d" ,"2" ,6.692,6.922,6.934,15489.90,71894.00,2.34,10.47,2.29,0.242,0.061,7390.81,5564.87,6.506,6.705,6.938,10.985,7390.81,5564.87,0.04,21147.59,,,  ,248.9626,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_1.d"," -ESI EIC(505.9879) Scan Frag=175.0V acs_m3_1.d "
"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_1.d" ,"1" ,5.588,5.754,6.363,133262.28,1987682.66,100.00,100.00,98.41,0.775,0.217,4006.46,4817.65,0.547,5.266,6.402,6.840,3867.57,4719.48,2.26,137312.41,,,  ,191.0155,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_1.d" ,"2" ,6.736,6.907,6.933,7757.09,32214.44,1.62,5.82,1.59,0.197,0.050,4452.91,4074.15,6.402,6.840,6.940,10.986,4452.91,4074.15,0.15,11881.70,,,  ,191.0155,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_2.d"," -ESI EIC(505.9879) Scan Frag=175.0V acs_m3_2.d "
"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_2.d" ,"1" ,5.555,5.702,6.476,102069.66,1623195.88,100.00,100.00,98.69,0.920,0.244,3131.04,3662.64,1.049,5.276,6.516,6.705,3131.04,3662.64,3.51,105285.60,,,  ,191.0155,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_2.d" ,"2" ,6.790,6.905,6.928,6656.53,21585.09,1.33,6.52,1.31,0.138,0.037,4899.15,4647.94,6.516,6.705,6.938,10.985,4899.15,4647.94,0.20,11346.65,,,  ,191.0155,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_neg_1.d"," -ESI EIC(505.9879) Scan Frag=175.0V acs_neg_1.d "
"D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
