D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_1.d, -ESI EIC(133.0136) Scan Frag=175.0V acs_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_1.d ,1,4.172,4.327,4.593,9634.45,136160.78,100,100,100,0.421,,0,3276.28,0,254.79,,9728.32,,,MM,,,,,M,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_2.d, -ESI EIC(133.0136) Scan Frag=175.0V acs_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_2.d ,1,4.185,4.345,4.589,7863.63,108749.45,100,100,100,0.404,,515.01,3556.35,515.01,893.52,,8529.01,,,MM,,,,,M,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_1.d, -ESI EIC(133.0136) Scan Frag=175.0V acs_m3_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_1.d ,1,4.184,4.289,4.385,19255.45,77440.57,100,100,100,0.055,,0,0,,,,,0,0,1.17,15762.2,,,  ,346.0501,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_2.d, -ESI EIC(133.0136) Scan Frag=175.0V acs_m3_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_m3_2.d ,1,4.103,4.3,4.354,17380.36,91516.79,100,100,100,0.067,,0,0,,,,,0,0,2.93,17618.13,,,  ,346.0501,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_neg_1.d, -ESI EIC(133.0136) Scan Frag=175.0V acs_neg_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_neg_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
D:\Projects\Marchand\Data\Carothers\231120_gly_shunt\acs_neg_1.d ,1,4.049,4.282,4.609,24047.95,287840.09,100,100,100,0.559,,0,2398.83,0,2398.83,,25045.39,,,MM,,,,,M,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
