Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A7,21000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A8,21000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A9,19825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A10,19825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A11,15125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A12,15125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B7,21500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B8,21500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B9,15450.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B10,15450.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B11,15125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B12,15125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C7,21000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C8,21000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C9,19825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C10,19825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C11,19250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C12,19250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D7,21500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D8,21500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D9,15625.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D10,15625.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D11,19500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D12,19500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E7,16125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E8,16125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E9,15625.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E10,15625.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E11,19500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E12,19500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F7,16125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F8,16125.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F9,13950.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F10,13950.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F11,19500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F12,19500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G7,15625.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G8,15625.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G9,13950.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G10,13950.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H7,15625.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H8,15625.0
