D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_1.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_noPW_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_1.d ,1,0.854,1.064,1.264,1807135.48,18881092.43,,,,0.41,,190129.47,31196.92,69238.17,31196.91,,1856842,,,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_2.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_noPW_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_2.d ,1,0.95,1.111,1.36,1324980.79,10553410.8,100,100,100,0.41,,112767.27,10426.94,112767.27,1948.5,,1394319.75,,,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_3.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_noPW_3.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_3.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_3.d ,1,0.97,1.108,1.357,1395157.91,12255349.6,100,100,100,0.388,,442635.81,8695.25,90732.45,7050.49,,1456001.63,,,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_4.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_noPW_4.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_4.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_4.d ,1,0.969,1.024,1.484,140577.32,821516.77,100,100,100,0.515,,11764.77,0,4717.25,0,,144787.48,,,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_5.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_noPW_5.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_5.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_5.d ,1,0.932,1.109,1.497,1384614.56,11701980.65,100,100,100,0.565,,99015.77,12347.64,95520.25,12347.64,,1454041.88,,,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_6.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_noPW_6.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_6.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_6.d ,1,0.935,1.106,1.439,1535952.01,13361629.92,100,100,100,0.504,,139198,10151.62,133964.49,10151.61,,1627723.38,,,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_7.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_noPW_7.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_7.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_7.d ,1,0.947,1.103,1.324,1142919.27,9916603,100,100,100,0.377,,84845.48,9418.2,84845.47,9418.19,,1196704.88,,,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_8.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_noPW_8.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_8.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_8.d ,1,0.958,1.028,1.079,29147.11,111212.08,100,100,33.59,0.052,,16189.72,15686.51,,,,,7592.25,2899.01,0.72,33337.78,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_8.d ,2,1.079,1.089,1.124,14259.67,35946.56,32.32,48.92,10.86,0.042,,15686.51,14359.21,,,,,2899.01,1189.38,0.27,15142.13,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_8.d ,3,1.124,1.134,1.154,14617.77,18606.36,16.73,50.15,5.62,0.021,,14359.21,0,,,,,1189.38,0,0.79,15023.62,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_8.d ,4,1.154,1.202,1.253,15599.11,54836.82,49.31,53.52,16.56,0.059,,0,0,,,,,0,0,0.96,15595.22,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_8.d ,5,1.253,1.271,1.333,15691.92,47925.05,43.09,53.84,14.47,0.051,,0,8998.85,,,,,0,219.2,0.21,13307,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_8.d ,6,1.333,1.373,1.388,10614.82,27071.76,24.34,36.42,8.18,0.036,,8998.85,9663.63,,,,,219.2,368.8,3.02,10946,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_8.d ,7,1.388,1.413,1.429,12527.44,21786.33,19.59,42.98,6.58,0.025,,9663.63,0,,,,,368.8,480,2.01,12911,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_noPW_8.d ,8,1.429,1.443,1.47,10116.55,13736.62,12.35,34.71,4.15,0.023,,0,9062.63,,,,,480,5250,0.53,8858.71,,,  ,248.9664,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_1.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_PW_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_1.d ,1,0.947,1.107,1.318,1134427.31,10819035.84,100,100,100,0.371,,95947.3,12533.88,23695.49,12533.87,,1153292,,,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_2.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_PW_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_2.d ,1,0.955,1.104,1.498,1073863.32,8657716.21,100,100,100,0.543,,103827.51,15252.28,103827.5,15252.27,,1153287.5,,,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_3.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_PW_3.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_3.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_3.d ,1,0.926,1.109,1.303,1184141.68,10601601.62,100,100,100,0.377,,90449.48,18121.47,24331.07,18121.46,,1205459,,,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_4.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_PW_4.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_4.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_4.d ,1,0.944,1.023,1.13,76308.35,327453.58,100,100,70.33,0.061,,0,0,,,,,8855.75,4341.3,0.51,84459.2,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_4.d ,2,1.13,1.146,1.165,13302.25,22425.42,6.85,17.43,4.82,0.028,,0,15237.04,,,,,4341.3,3507.78,0.67,17952.78,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_4.d ,3,1.165,1.18,1.249,13224.44,49409.06,15.09,17.33,10.61,0.062,,15237.04,11224.24,,,,,3507.78,1476.82,0.28,17069.06,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_4.d ,4,1.249,1.263,1.3,11626.32,28265.27,8.63,15.24,6.07,0.041,,11224.24,0,,,,,1476.82,230,0.37,13230.05,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_4.d ,5,1.3,1.314,1.348,11032.67,17876.86,5.46,14.46,3.84,0.027,,0,5268.17,,,,,230,1632.45,0.43,11656.53,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_4.d ,6,1.348,1.42,1.436,8529.33,20166.81,6.16,11.18,4.33,0.048,,5268.17,0,,,,,1632.45,4176,4.12,10631.03,,,  ,248.9664,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_5.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_PW_5.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_5.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_5.d ,1,0.932,1.105,1.343,1323512.53,11864472.24,100,100,100,0.118,,100991.87,7426.42,,,,,96579.75,2787,1.4,1364091.13,,,  ,87.007,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_6.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_PW_6.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_6.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_6.d ,1,0.946,1.101,1.328,1352411.64,11819524.26,100,100,100,0.382,,100698.38,10226.39,100698.38,10226.39,,1416392.63,,,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_7.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_PW_7.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_7.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_7.d ,1,0.918,1.101,1.295,1570544.51,14333599.59,100,100,100,0.377,,131026.64,32885.11,49328.34,32885.11,,1611892.75,,,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_8.d, -ESI EIC(87.0082) Scan Frag=175.0V day1_PW_8.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_8.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_8.d ,1,0.977,1.029,1.083,27769.02,103935.26,100,100,37.7,0.049,,13012.05,11695,,,,,4070.5,2926.89,0.99,31413.06,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_8.d ,2,1.083,1.094,1.194,12472.5,56944.02,54.79,44.92,20.65,0.076,,11695,12186.32,,,,,2926.89,1724.96,0.09,14148.58,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_8.d ,3,1.194,1.225,1.299,11696.92,47801.41,45.99,42.12,17.34,0.069,,12186.32,9744.98,,,,,1724.96,582.96,0.52,11958.77,,,  ,248.9664,,,,,,,
D:\Projects\Marchand\Data\Carothers\231120_hydrogel\day1_PW_8.d ,4,1.299,1.321,1.353,11975.45,22439.86,21.59,43.13,8.14,0.027,,9744.98,0,,,,,582.96,0,1.04,11361.09,,,  ,248.9664,,,,,,,
