Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],H9,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],H9,50.0
Source[1],384PP_AQ_BP,P2,Destination[1],H9,150.0
Source[1],384PP_AQ_BP,P3,Destination[1],H9,25.0
Source[1],384PP_AQ_BP,P5,Destination[1],H9,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],H10,700.0
Source[1],384PP_AQ_BP,P1,Destination[1],H10,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],H11,175.0
Source[1],384PP_AQ_BP,P1,Destination[1],H11,50.0
Source[1],384PP_AQ_BP,P3,Destination[1],H11,25.0
Source[1],384PP_AQ_BP,P5,Destination[1],H11,25.0
Source[1],384PP_AQ_BP,M11,Destination[1],H11,350.0
Source[1],384PP_AQ_BP,M12,Destination[1],H11,125.0
Source[1],384PP_AQ_BP,A1,Destination[1],H12,25.0
Source[1],384PP_AQ_BP,P1,Destination[1],H12,50.0
Source[1],384PP_AQ_BP,P2,Destination[1],H12,150.0
Source[1],384PP_AQ_BP,P3,Destination[1],H12,25.0
Source[1],384PP_AQ_BP,P5,Destination[1],H12,25.0
Source[1],384PP_AQ_BP,M11,Destination[1],H12,350.0
Source[1],384PP_AQ_BP,M12,Destination[1],H12,125.0
Source[1],384PP_AQ_BP,A1,Destination[1],H13,575.0
Source[1],384PP_AQ_BP,P1,Destination[1],H13,50.0
Source[1],384PP_AQ_BP,M12,Destination[1],H13,125.0
Source[1],384PP_AQ_BP,A1,Destination[1],H14,350.0
Source[1],384PP_AQ_BP,P1,Destination[1],H14,50.0
Source[1],384PP_AQ_BP,M11,Destination[1],H14,350.0
Source[1],384PP_AQ_BP,A1,Destination[1],H15,375.0
Source[1],384PP_AQ_BP,P1,Destination[1],H15,50.0
Source[1],384PP_AQ_BP,P2,Destination[1],H15,150.0
Source[1],384PP_AQ_BP,P3,Destination[1],H15,25.0
Source[1],384PP_AQ_BP,P5,Destination[1],H15,25.0
Source[1],384PP_AQ_BP,M10,Destination[1],H15,125.0
Source[1],384PP_AQ_BP,A1,Destination[1],H16,600.0
Source[1],384PP_AQ_BP,P9,Destination[1],H16,50.0
Source[1],384PP_AQ_BP,O17,Destination[1],H16,100.0
Source[1],384PP_AQ_BP,E4,Destination[1],H9,2250.0000000000005
Source[1],384PP_AQ_BP,E4,Destination[1],H10,2250.0
Source[1],384PP_AQ_BP,E4,Destination[1],H11,2250.0
Source[1],384PP_AQ_BP,E4,Destination[1],H12,2250.0
Source[1],384PP_AQ_BP,E4,Destination[1],H13,2250.0
Source[1],384PP_AQ_BP,E4,Destination[1],H14,2250.0
Source[1],384PP_AQ_BP,E4,Destination[1],H15,2250.0
Source[1],384PP_AQ_BP,E4,Destination[1],H16,2250.0
