"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d"," -ESI EIC(808.1180) Scan Frag=175.0V dil_1.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d" ,"1" ,4.310,4.368,4.556,3286565.15,14885802.23,100.00,100.00,98.14,0.246,0.066,1510.96,95738.08,0.545,4.307,4.545,4.562,1510.96,14489.40,2.90,3291102.00,,,  ,808.1182,,,,,,,,S,,,,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d" ,"2" ,4.556,4.578,4.695,102222.81,282026.54,1.89,3.11,1.86,0.139,0.051,95738.08,21787.71,4.545,4.562,5.027,5.221,27799.70,20855.14,1.65,128911.18,,,  ,662.0999,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_2.d"," -ESI EIC(808.1180) Scan Frag=175.0V dil_2.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_2.d" ,"1" ,4.312,4.379,4.584,2039386.75,7838231.13,100.00,100.00,100.00,0.271,0.053,1304.37,44882.68,0.545,4.285,5.925,6.689,0.00,0.00,2.52,2039386.75,,,  ,808.1182,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_3.d"," -ESI EIC(808.1180) Scan Frag=175.0V dil_3.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_3.d" ,"1" ,4.307,4.381,4.551,1415725.13,5185683.77,100.00,100.00,100.00,0.244,0.050,711.71,32571.09,0.545,4.312,6.906,10.987,0.00,0.00,2.34,1415725.13,,,  ,808.1182,,,,,,,,S,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_1.d"," -ESI EIC(808.1180) Scan Frag=175.0V HCT_1.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_1.d" ,"1" ,4.205,4.272,4.444,1805742.38,5054255.83,100.00,100.00,100.00,0.238,0.042,15557.66,7094.86,2.710,4.167,4.693,5.264,0.00,0.00,1.33,1805742.38,,,  ,808.1182,,,,,,,,S,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_2.d"," -ESI EIC(808.1180) Scan Frag=175.0V HCT_2.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_2.d" ,"1" ,4.215,4.270,4.442,1600430.71,4407266.21,100.00,100.00,100.00,0.227,0.041,24658.63,5378.63,2.725,4.171,4.669,11.000,101.14,100.74,1.48,1600531.75,,,  ,808.1182,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_3.d"," -ESI EIC(808.1180) Scan Frag=175.0V HCT_3.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_3.d" ,"1" ,4.202,4.270,4.441,2013509.63,5920457.18,100.00,100.00,100.00,0.238,0.044,17753.90,8701.46,2.723,4.158,5.200,10.987,0.00,0.00,1.28,2013509.63,,,  ,808.1182,,,,,,,,S,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_1.d"," -ESI EIC(808.1180) Scan Frag=175.0V HCT_dil_1.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_1.d" ,"1" ,4.241,4.324,4.684,4097330.05,25716542.99,100.00,100.00,100.00,0.443,0.093,1232.14,10198.55,0.546,4.147,5.388,5.543,1232.14,1148.28,3.42,4098546.50,,,  ,808.1182,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_2.d"," -ESI EIC(808.1180) Scan Frag=175.0V HCT_dil_2.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_2.d" ,"1" ,4.285,4.357,4.595,2647258.50,10324815.24,100.00,100.00,100.00,0.310,0.056,1101.97,16822.39,0.545,4.257,5.099,10.986,0.00,0.00,2.23,2647258.50,,,  ,808.1182,,,,,,,,S,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_3.d"," -ESI EIC(808.1180) Scan Frag=175.0V HCT_dil_3.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_3.d" ,"1" ,4.283,4.355,4.549,2622093.61,10263145.56,100.00,100.00,100.00,0.266,0.058,1647.34,42405.51,0.543,4.272,5.746,6.838,206.73,228.56,1.90,2622306.25,,,  ,808.1182,,,,,,,,S,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_1.d"," -ESI EIC(808.1180) Scan Frag=175.0V ICL_1.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_1.d" ,"1" ,4.327,4.393,4.637,2269.45,14311.01,100.00,100.00,100.00,0.310,0.095,0.00,0.00,0.543,4.343,4.454,6.554,0.00,0.00,2.67,2269.45,,,  ,248.9697,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_2.d"," -ESI EIC(808.1180) Scan Frag=175.0V ICL_2.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_2.d" ,"1" ,4.329,4.362,4.517,2212.37,11868.34,100.00,100.00,100.00,0.188,0.082,0.00,0.00,0.556,4.346,4.445,6.556,0.00,0.00,4.65,2212.37,,,  ,248.9697,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_3.d"," -ESI EIC(808.1180) Scan Frag=175.0V ICL_3.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_3.d" ,"1" ,4.328,4.378,4.489,2011.88,9021.57,100.00,100.00,100.00,0.161,0.051,0.00,0.00,0.555,4.350,4.428,6.555,0.00,0.00,2.32,2011.88,,,  ,248.9697,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_neg_1.d"," -ESI EIC(808.1180) Scan Frag=175.0V ICL_neg_1.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_neg_1.d" ,"1" ,4.316,4.388,4.687,7183.36,46324.90,100.00,100.00,100.00,0.371,0.073,398.60,430.54,0.543,4.338,4.609,10.984,0.00,0.00,3.76,7183.36,,,  ,248.9697,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_neg_2.d"," -ESI EIC(808.1180) Scan Frag=175.0V ICL_neg_2.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_neg_2.d" ,"1" ,4.329,4.401,4.667,3367.12,19562.47,100.00,100.00,100.00,0.338,0.076,0.00,0.00,0.068,4.351,4.451,10.986,0.00,0.00,2.25,3367.12,,,  ,248.9697,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_neg_3.d"," -ESI EIC(808.1180) Scan Frag=175.0V ICL_neg_3.d "
"D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\ICL_neg_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
