Sample Name,Sample Position,Method,Data File
Std_1,P3-H1,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\Std_1
Std_2,P3-H2,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\Std_2
Std_3,P3-H3,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\Std_3
Std_4,P3-H4,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\Std_4
Std_5,P3-H5,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\Std_5
mod1_1,P3-A1,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_1
mod1_2,P3-A2,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_2
mod1_3,P3-A3,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_3
metf_fer_1,P3-A4,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_fer_1
metf_fer_2,P3-A5,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_fer_2
metf_fer_3,P3-A6,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_fer_3
mod1_fbp_1,P3-B1,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_fbp_1
mod1_fbp_2,P3-B2,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_fbp_2
mod1_fbp_3,P3-B3,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_fbp_3
metf_dtt_1,P3-B4,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_dtt_1
metf_dtt_2,P3-B5,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_dtt_2
metf_dtt_3,P3-B6,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_dtt_3
mod1_fer_1,P3-C1,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_fer_1
mod1_fer_2,P3-C2,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_fer_2
mod1_fer_3,P3-C3,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_fer_3
metf_fad_1,P3-C4,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_fad_1
metf_fad_2,P3-C5,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_fad_2
metf_fad_3,P3-C6,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_fad_3
mod1_dtt_1,P3-D1,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_dtt_1
mod1_dtt_2,P3-D2,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_dtt_2
mod1_dtt_3,P3-D3,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_dtt_3
neg_1,P3-D4,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\neg_1
neg_2,P3-D5,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\neg_2
neg_3,P3-D6,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\neg_3
mod1_fad_1,P3-E1,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_fad_1
mod1_fad_2,P3-E2,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_fad_2
mod1_fad_3,P3-E3,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\mod1_fad_3
metf_1,P3-F1,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_1
metf_2,P3-F2,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_2
metf_3,P3-F3,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_3
metf_fbp_1,P3-G1,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_fbp_1
metf_fbp_2,P3-G2,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_fbp_2
metf_fbp_3,P3-G3,Carothers\BEHamide_A1B1_95to60organic_96well.m,D:\Projects\Marchand\Data\Carothers\240208\metf_fbp_3
