"D:\Projects\Marchand\Data\Carothers\240208\metf_1.d"," -ESI EIC(458.1788) Scan Frag=175.0V metf_1.d "
"D:\Projects\Marchand\Data\Carothers\240208\metf_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240208\metf_1.d" ,"1" ,2.973,3.012,3.072,3398.64,8230.69,100.00,100.00,100.00,0.100,0.037,0.00,0.00,0.546,2.978,3.039,6.557,0.00,0.00,1.44,3398.64,,,  ,237.0897,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240208\metf_2.d"," -ESI EIC(458.1788) Scan Frag=175.0V metf_2.d "
"D:\Projects\Marchand\Data\Carothers\240208\metf_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240208\metf_2.d" ,"1" ,2.975,3.008,3.047,4201.76,9659.20,,,,0.072,0.040,0.03,0.03,0.543,2.975,3.047,4.260,0.03,0.03,1.16,4201.79,,,  ,237.0897,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240208\metf_3.d"," -ESI EIC(458.1788) Scan Frag=175.0V metf_3.d "
"D:\Projects\Marchand\Data\Carothers\240208\metf_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240208\metf_3.d" ,"1" ,2.959,3.003,3.036,7055.96,17122.00,,,,0.078,0.040,0.00,0.00,0.543,2.953,3.070,4.255,0.00,0.00,0.79,7055.96,,,  ,237.0897,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240208\metf_dtt_1.d"," -ESI EIC(458.1788) Scan Frag=175.0V metf_dtt_1.d "
"D:\Projects\Marchand\Data\Carothers\240208\metf_dtt_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240208\metf_dtt_1.d" ,"1" ,2.789,2.800,2.806,622.54,327.81,9.25,45.37,5.86,0.017,0.009,0.00,0.00,0.556,2.784,2.806,2.872,0.00,0.00,0.49,622.54,,,  ,237.0897,,,,,,,,,,,,
