,Biotin,NADH,NADPH,Formate,THF,Mg-ACT,mod1,metf,ATP,AcCoA,MalCoA,Bicarbonate,mod1_fbp,metf_fbp,acc_BD,acc_AD,neg,5-methyl-THF,Std
Std_1,,,,,,,,,,0.5,0.5,,,,,,,0.5,10
Std_2,,,,,,,,,,0.25,0.25,,,,,,,0.25,10
Std_3,,,,,,,,,,0.125,0.125,,,,,,,0.125,10
Std_4,,,,,,,,,,0.0675,0.0675,,,,,,,0.0675,10
Std_5,,,,,,,,,,0,0,,,,,,,0,10
mod1,1,1,,25,1,2,10,,,,,,,,,,,,
mod1_fbp,1,1,,25,1,2,,,,,,,10,,,,,,
metf,1,1,,25,1,2,,10,,,,,,,,,,,
metf_fbp,1,1,,25,1,2,,,,,,,,10,,,,,
neg,1,1,,25,1,2,,,,,,,,,,,10,,
accBD,1,,,,,2,,,10,10,,10,,,10,,,,
accAD,1,,,,,2,,,10,10,,10,,,,10,,,
acc_neg,1,,,,,2,,,10,10,,10,,,,,10,,
