Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A1,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A2,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A3,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A4,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B1,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B2,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B3,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B4,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C1,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C2,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C3,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C4,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D1,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D2,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D3,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E1,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E2,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E3,17225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H1,18500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H2,19250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H3,19650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H4,19775.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H5,20000.0
