"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_1.d"," -ESI EIC(808.1179) Scan Frag=175.0V mod3_1.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_1.d" ,"1" ,4.443,4.521,4.853,436476.42,3126151.20,100.00,100.00,100.00,0.410,0.135,1878.64,4665.74,0.543,4.410,6.970,10.984,1145.34,4665.74,4.48,438287.69,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_2.d"," -ESI EIC(808.1179) Scan Frag=175.0V mod3_2.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_2.d" ,"1" ,4.428,4.506,4.843,387508.97,2566155.22,100.00,100.00,100.00,0.416,0.080,2351.76,1146.98,0.544,4.389,5.037,10.985,0.00,0.00,4.37,387508.97,,,  ,403.5499,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_3.d"," -ESI EIC(808.1179) Scan Frag=175.0V mod3_3.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_3.d" ,"1" ,4.453,4.508,4.741,918609.99,4617005.76,100.00,100.00,100.00,0.288,0.054,9688.22,7401.72,0.558,4.387,4.963,10.999,1121.79,7401.72,4.90,920939.38,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_4.d"," -ESI EIC(808.1179) Scan Frag=175.0V mod3_4.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_4.d" ,"1" ,4.439,4.500,4.728,1457089.14,7409773.37,100.00,100.00,100.00,0.288,0.059,10684.42,8850.30,0.545,4.373,4.938,10.986,268.76,8850.30,4.79,1459173.50,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_1.d"," -ESI EIC(808.1179) Scan Frag=175.0V mod3_neg_1.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_1.d" ,"1" ,4.445,4.517,4.839,451689.44,3095283.07,100.00,100.00,100.00,0.393,0.131,2821.99,4934.11,0.556,4.401,5.952,6.823,1583.76,4934.11,4.56,453886.50,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_2.d"," -ESI EIC(808.1179) Scan Frag=175.0V mod3_neg_2.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_2.d" ,"1" ,4.430,4.502,4.829,409733.31,2574122.20,100.00,100.00,100.00,0.399,0.075,2283.94,2315.38,0.558,4.380,5.167,10.999,0.00,0.00,4.51,409733.31,,,  ,403.5499,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_3.d"," -ESI EIC(808.1179) Scan Frag=175.0V mod3_neg_3.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_3.d" ,"1" ,4.442,4.503,4.752,811212.44,3961270.46,100.00,100.00,100.00,0.310,0.052,4318.27,4016.29,0.542,4.387,5.140,11.000,655.73,4016.29,4.52,812528.19,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3-1_1.d"," -ESI EIC(808.1179) Scan Frag=175.0V mod3-1_1.d "
