"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod3_1.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_1.d" ,"1" ,3.895,4.781,5.169,12042,203137,100.00,100.00,100.00,1.274,,509,1490,509,493,,12539,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_2.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod3_2.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_2.d" ,"1" ,4.151,4.450,4.988,9711,177718,100.00,100.00,100.00,0.837,,327,979,327,979,,10271,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_3.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod3_3.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_3.d" ,"1" ,4.171,4.520,4.780,16091,315808,100.00,100.00,100.00,0.609,,0,676,0,676,,16478,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_4.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod3_4.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_4.d" ,"1" ,4.151,4.351,4.750,21443,380353,100.00,100.00,100.00,0.598,,0,372,0,372,,21567,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod3_neg_1.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_1.d" ,"1" ,4.174,4.468,4.883,12642,189844,100.00,100.00,100.00,0.709,,1045,0,772,0,,13094,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_2.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod3_neg_2.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_2.d" ,"1" ,4.131,4.447,4.862,8997,145173,100.00,100.00,100.00,0.731,,517,208,181,208,,9189,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_3.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod3_neg_3.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_neg_3.d" ,"1" ,4.121,4.453,4.841,12017,220098,100.00,100.00,100.00,0.720,,0,0,0,0,,12017,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3-1_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V mod3-1_1.d "
"D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3-1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
