D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_1.d, -ESI EIC(87.0082) Scan Frag=175.0V mod3_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_1.d ,1,0.809,1.019,1.313,23913.7,195098.29,100,100,100,0.504,,759.27,562.38,403,562.38,,24383.24,,,MM,,,,,M,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_2.d, -ESI EIC(87.0082) Scan Frag=175.0V mod3_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_2.d ,1,0.949,1.004,1.331,32594.41,250053.93,100,100,100,0.382,,1842.77,0,14.8,0,,32607.07,,,MM,,,,,M,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_3.d, -ESI EIC(87.0082) Scan Frag=175.0V mod3_3.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_3.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M
D:\Projects\Marchand\Data\Carothers\240220_mod3\mod3_3.d ,1,0.929,1.016,1.349,49852.17,418353.39,100,100,100,0.111,,775.85,0,,,,,525.22,0,0.31,45999.11,,,  ,248.9689,,,,,,
