"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d"," -ESI EIC(104.0348) Scan Frag=175.0V gs_1.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"1" ,0.982,1.095,1.108,216.80,254.48,100.00,90.00,45.30,0.020,,0.00,0.00,,,,,0.00,0.00,3.67,306.40,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"2" ,1.108,1.333,1.346,142.03,200.29,78.71,58.96,35.65,0.024,,0.00,0.00,,,,,0.00,0.00,4.59,200.63,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"3" ,1.346,1.406,1.505,240.89,106.99,42.04,100.00,19.05,0.007,,0.00,0.00,,,,,0.00,0.00,0.94,0.00,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d"," -ESI EIC(104.0348) Scan Frag=175.0V gs_2.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"1" ,0.824,0.880,1.502,370.02,807.50,100.00,100.00,100.00,0.035,,0.00,0.00,,,,,0.00,0.00,0.50,238.02,,,  ,134.0434,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d"," -ESI EIC(104.0348) Scan Frag=175.0V gs_3.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"1" ,0.952,0.971,1.498,173.87,200.09,100.00,100.00,100.00,0.019,,0.00,0.00,,,,,0.00,0.00,0.31,0.00,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d"," -ESI EIC(104.0348) Scan Frag=175.0V gs_4.d "
