D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_1.d, -ESI EIC(133.0136) Scan Frag=175.0V pyc_day4_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No integration results available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_2.d, -ESI EIC(133.0136) Scan Frag=175.0V pyc_day4_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_2.d ,1,3.73,4.272,4.66,7981.65,136493.13,100,100,100,0.931,0.303,0,0,0.056,3.73,4.66,10.985,0,0,0.37,7981.65,,,  ,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_3.d, -ESI EIC(133.0136) Scan Frag=175.0V pyc_day4_3.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_3.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_3.d ,1,3.73,4.034,4.683,7348.86,115293.28,100,100,100,0.953,0.332,0,593.33,0.056,3.73,4.683,10.985,370.37,185.19,7.34,7660.02,,,  ,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_4.d, -ESI EIC(133.0136) Scan Frag=175.0V pyc_day4_4.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_4.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_4.d ,1,3.66,4.242,4.68,7556,164247.01,100,100,100,1.019,0.613,0,0,0.053,3.66,4.68,10.999,0,0,1.36,7556,,,  ,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_neg_1.d, -ESI EIC(133.0136) Scan Frag=175.0V pyc_day4_neg_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No integration results available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_neg_2.d, -ESI EIC(133.0136) Scan Frag=175.0V pyc_day4_neg_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_neg_2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_neg_2.d ,1,3.732,4.386,4.851,2621.65,46684.47,100,100,100,1.119,3.515,0,0,0.053,3.732,4.851,10.999,129.36,0,0,2675.45,,,  ,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_neg_3.d, -ESI EIC(133.0136) Scan Frag=175.0V pyc_day4_neg_3.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_neg_3.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_neg_3.d ,1,3.772,4.033,4.941,2189.92,59201.88,100,100,100,1.169,0.123,252.91,0,0.06,3.772,4.941,10.984,53.96,0,0.26,2231.86,,,  ,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_neg_4.d, -ESI EIC(133.0136) Scan Frag=175.0V pyc_day4_neg_4.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_neg_4.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_neg_4.d ,1,3.772,4.603,4.714,2950.94,56762.55,100,100,100,0.942,0.727,0,0,0.059,3.772,4.714,10.983,0,0,0.03,2950.94,,,  ,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day4_1.d, -ESI EIC(133.0136) Scan Frag=175.0V sds_day4_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day4_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day4_1.d ,1,3.651,4.25,4.35,4579.84,54324.33,100,100,100,0.698,0.446,0,1214.7,0.055,3.651,4.35,10.985,0,0,0.19,4579.84,,,  ,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day4_2.d, -ESI EIC(133.0136) Scan Frag=175.0V sds_day4_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day4_2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
