"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V pyc_day4_1.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_1.d" ,"1" ,0.849,0.904,1.231,25938.07,167549.05,100.00,100.00,97.45,0.382,,1199.27,967.17,600.85,967.17,,26592.01,,,MM,,,,,M,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_1.d" ,"2" ,1.262,1.274,1.392,1080.92,4387.08,2.62,4.17,2.55,0.068,,971.01,0.00,191.76,62.96,0.13,792.76,,,  ,248.9655,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V pyc_day4_2.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_2.d" ,"1" ,0.815,0.904,1.220,612524.61,5646598.69,100.00,100.00,100.00,0.404,,54206.43,35313.97,53435.25,35313.96,,661987.75,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_3.d"," -ESI EIC(87.0082) Scan Frag=175.0V pyc_day4_3.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_3.d" ,"1" ,0.810,0.904,1.270,621413.12,5675937.05,100.00,100.00,100.00,0.460,,44766.82,25324.14,43131.75,25324.14,,660897.50,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_4.d"," -ESI EIC(87.0082) Scan Frag=175.0V pyc_day4_4.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_4.d" ,"1" ,0.807,0.912,1.200,643148.31,5815434.69,100.00,100.00,100.00,0.393,,59969.66,26062.38,59200.25,26062.37,,693479.31,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day4_neg_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V pyc_day4_neg_1.d "
