"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V pyc_day2_1.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_1.d" ,"1" ,0.807,0.848,0.917,54040.24,295632.71,2.58,5.36,2.47,0.070,,46854.74,40654.71,,,,,7741.00,7741.00,0.60,62341.09,,,  ,134.0433,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_1.d" ,"2" ,0.917,1.013,1.362,1008937.01,11477607.35,100.00,100.00,96.06,0.138,,40654.71,12488.65,,,,,7741.00,-13562.21,0.35,987946.13,,,  ,248.9676,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_1.d" ,"3" ,1.389,1.407,1.502,29324.15,175363.52,1.53,2.91,1.47,0.100,,13661.92,8636.20,,,,,-14879.67,-20259.48,0.20,12861.71,,,  ,248.9676,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V pyc_day2_2.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_2.d" ,"1" ,0.884,0.982,1.335,719637.08,8057370.89,100.00,100.00,100.00,0.137,,41793.54,5601.39,,,,,41010.50,5564.50,0.31,741814.44,,,  ,248.9676,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_3.d"," -ESI EIC(87.0082) Scan Frag=175.0V pyc_day2_3.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_3.d" ,"1" ,0.861,0.977,1.265,748439.07,8448853.16,100.00,100.00,100.00,0.404,,39790.15,21879.81,37478.25,21879.81,,781430.50,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_4.d"," -ESI EIC(87.0082) Scan Frag=175.0V pyc_day2_4.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_day2_4.d" ,"1" ,0.858,0.958,1.369,726923.87,8506775.98,100.00,100.00,100.00,0.143,,33353.14,5362.95,,,,,33263.50,5008.00,0.32,765397.94,,,  ,248.9676,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\pyc_neg_day2_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V pyc_neg_day2_1.d "
