"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_1.d"," -ESI EIC(104.0347) Scan Frag=175.0V sds_day1_1.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_1.d" ,"1" ,3.321,3.359,3.509,5962.14,23940.35,4.53,9.54,3.90,0.188,0.063,1905.70,2494.02,2.794,3.304,3.509,3.570,1905.70,2494.02,5.06,7988.46,,,  ,237.0842,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_1.d" ,"2" ,3.564,3.603,3.941,62473.30,528134.39,100.00,100.00,86.09,0.377,0.107,2068.31,7131.67,3.509,3.570,3.902,3.947,1855.51,1614.94,13.15,64304.04,,,  ,248.9661,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_1.d" ,"3" ,3.941,3.980,4.049,17740.65,52718.18,9.98,28.40,8.59,0.108,0.044,7131.67,1545.72,3.902,3.947,4.052,4.107,1614.94,1545.72,0.86,19330.82,,,  ,248.9661,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_1.d" ,"4" ,4.129,4.157,4.174,4782.80,8662.34,1.64,7.66,1.41,0.044,0.059,0.00,0.00,4.052,4.107,4.179,4.179,0.00,0.00,0.32,4782.80,,,  ,171.0037,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_2.d"," -ESI EIC(104.0347) Scan Frag=175.0V sds_day1_2.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_2.d" ,"1" ,3.312,3.350,3.527,6225.83,32161.04,5.80,9.30,5.07,0.216,0.115,890.27,1052.88,2.763,3.312,3.528,3.550,771.83,1052.88,5.43,7048.23,,,  ,237.0842,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_2.d" ,"2" ,3.561,3.616,3.932,66934.58,554063.49,100.00,100.00,87.42,0.371,0.097,1272.00,8823.56,3.528,3.550,3.932,3.954,1362.75,824.61,7.33,68217.50,,,  ,,,,,M,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_2.d" ,"3" ,3.938,3.982,4.051,15380.19,47594.24,8.59,22.98,7.51,0.113,0.049,7435.67,1836.27,3.893,3.954,4.054,4.126,1795.22,1836.27,0.55,17191.51,,,  ,248.9661,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_3.d"," -ESI EIC(104.0347) Scan Frag=175.0V sds_day1_3.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_3.d" ,"1" ,3.310,3.343,3.531,6435.14,38736.28,7.48,10.85,6.96,0.220,0.143,795.41,917.79,2.845,3.310,3.515,3.559,795.41,917.79,5.88,7249.00,,,  ,237.0842,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_3.d" ,"2" ,3.562,3.604,3.980,59284.18,517991.44,100.00,100.00,93.04,0.419,0.098,1195.74,16231.64,3.515,3.559,4.036,4.102,1656.63,1472.85,10.90,60922.29,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_4.d"," -ESI EIC(104.0347) Scan Frag=175.0V sds_day1_4.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\sds_day1_4.d" ,"1" ,2.715,2.754,2.819,2794.36,7152.83,1.39,4.36,1.23,0.104,0.041,47.44,148.58,0.554,2.720,2.814,3.291,47.44,148.58,1.87,2879.04,,,  ,141.0164,,,,,,,,,,,,
