Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A2,Destination[1],B6,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],B6,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],B6,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],B6,500.0
Source[3],384PP_AQ_BP,M4,Destination[1],B6,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],B7,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],B7,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],B7,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],B7,500.0
Source[3],384PP_AQ_BP,M4,Destination[1],B7,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],B8,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],B8,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],B8,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],B8,500.0
Source[3],384PP_AQ_BP,M4,Destination[1],B8,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],B12,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],B12,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],B12,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],B12,500.0
Source[3],384PP_AQ_BP,M4,Destination[1],B12,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],C1,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],C1,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],C1,500.0
Source[3],384PP_AQ_BP,M4,Destination[1],C1,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],C2,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],C2,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],C2,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],C2,500.0
Source[3],384PP_AQ_BP,M4,Destination[1],C2,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],C6,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],C6,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],C6,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],C6,500.0
Source[3],384PP_AQ_BP,M4,Destination[1],C6,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],C7,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],C7,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],C7,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],C7,500.0
Source[3],384PP_AQ_BP,M4,Destination[1],C7,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],C8,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],C8,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],C8,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],C8,500.0
Source[3],384PP_AQ_BP,M4,Destination[1],C8,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],C12,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],C12,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],C12,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],C12,500.0
Source[3],384PP_AQ_BP,M4,Destination[1],C12,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],D1,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],D1,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],D1,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],D1,500.0
Source[3],384PP_AQ_BP,M4,Destination[1],D1,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],D2,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],D2,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],D2,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],D2,500.0
Source[3],384PP_AQ_BP,M4,Destination[1],D2,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],B9,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],B9,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],B9,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],B9,500.0
Source[3],384PP_AQ_BP,M5,Destination[1],B9,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],B10,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],B10,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],B10,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],B10,500.0
Source[3],384PP_AQ_BP,M5,Destination[1],B10,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],B11,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],B11,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],B11,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],B11,500.0
Source[3],384PP_AQ_BP,M5,Destination[1],B11,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],C3,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],C3,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],C3,1250.0
Source[1],384PP_AQ_BP,A8,Destination[1],C3,500.0
Source[3],384PP_AQ_BP,M5,Destination[1],C3,2500.0
Source[1],384PP_AQ_BP,A2,Destination[1],C4,500.0
Source[1],384PP_AQ_BP,A3,Destination[1],C4,250.0
