"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day1_1.d"," -ESI EIC(663.1086) Scan Frag=175.0V fdh_day1_1.d "
"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day1_1.d" ,"1" ,4.293,4.387,4.682,447165.00,2758720.95,100.00,100.00,100.00,0.389,0.073,3945.16,38325.41,0.553,4.265,4.675,4.730,3945.16,38325.41,4.94,459426.41,,,  ,540.0481,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day1_2.d"," -ESI EIC(663.1086) Scan Frag=175.0V fdh_day1_2.d "
"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day1_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day1_2.d" ,"1" ,4.288,4.388,4.764,449889.90,3475830.66,100.00,100.00,100.00,0.476,0.079,4304.80,39828.05,0.554,4.266,4.958,5.097,4304.80,5017.49,4.89,454343.59,,,  ,540.0481,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day1_3.d"," -ESI EIC(663.1086) Scan Frag=175.0V fdh_day1_3.d "
"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day1_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day1_3.d" ,"1" ,4.330,4.385,4.585,12019.13,67626.26,100.00,100.00,100.00,0.255,0.072,0.00,0.00,0.551,4.335,4.657,6.557,0.00,0.00,4.12,12019.13,,,  ,248.9645,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day1_4.d"," -ESI EIC(663.1086) Scan Frag=175.0V fdh_day1_4.d "
"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day1_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day1_4.d" ,"1" ,4.283,4.389,4.760,290385.41,2274570.32,100.00,100.00,100.00,0.477,0.084,0.00,21971.94,0.549,4.283,5.342,10.985,0.00,0.00,4.73,290385.41,,,  ,540.0481,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day2_1.d"," -ESI EIC(663.1086) Scan Frag=175.0V fdh_day2_1.d "
"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day2_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day2_1.d" ,"1" ,4.282,4.387,4.791,164753.09,1372584.10,100.00,100.00,100.00,0.510,0.093,826.01,9180.60,0.553,4.287,5.268,11.000,0.00,0.00,4.97,164753.09,,,  ,248.9645,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240801_mdh_hydrogel\fdh_day2_2.d"," -ESI EIC(663.1086) Scan Frag=175.0V fdh_day2_2.d "
