Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A1,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],A1,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A1,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],A1,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],A1,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A4,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A4,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],A4,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],A4,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A2,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],A2,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A2,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],A2,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],A2,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A5,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],A5,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A5,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],A5,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],A5,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A3,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],A3,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A3,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],A3,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],A3,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A6,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A6,250.0
Source[1],384PP_AQ_BP,A4,Destination[1],A6,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],A6,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A7,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],A7,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A7,250.0
Source[1],384PP_AQ_BP,A5,Destination[1],A7,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],A7,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A8,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],A8,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A8,250.0
Source[1],384PP_AQ_BP,A5,Destination[1],A8,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],A8,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A9,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],A9,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A9,250.0
Source[1],384PP_AQ_BP,A5,Destination[1],A9,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],A9,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A10,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],A10,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A10,250.0
Source[1],384PP_AQ_BP,A6,Destination[1],A10,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],A10,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A11,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],A11,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A11,250.0
Source[1],384PP_AQ_BP,A6,Destination[1],A11,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],A11,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A12,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],A12,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A12,250.0
Source[1],384PP_AQ_BP,A6,Destination[1],A12,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],A12,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],B1,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],B1,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],B1,250.0
Source[1],384PP_AQ_BP,A7,Destination[1],B1,25.0
Source[1],384PP_AQ_BP,A10,Destination[1],B1,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],B2,225.0
Source[1],384PP_AQ_BP,A2,Destination[1],B2,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],B2,250.0
