Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A1,725.0
Source[1],384PP_AQ_BP,A2,Destination[1],A1,25.0
Source[1],384PP_AQ_BP,A3,Destination[1],A1,25.0
Source[1],384PP_AQ_BP,A5,Destination[1],A1,50.0
Source[1],384PP_AQ_BP,A6,Destination[1],A1,100.0
Source[1],384PP_AQ_BP,A7,Destination[1],A1,625.0
Source[1],384PP_AQ_BP,A8,Destination[1],A1,175.0
Source[1],384PP_AQ_BP,A9,Destination[1],A1,300.0
Source[1],384PP_AQ_BP,A12,Destination[1],A1,200.0
Source[1],384PP_AQ_BP,A13,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,A14,Destination[1],A1,400.0
Source[1],384PP_AQ_BP,A1,Destination[1],A2,3125.0
Source[1],384PP_AQ_BP,P24,Destination[1],A1,9375.0
Source[1],384PP_AQ_BP,P24,Destination[1],A2,9375.0
