Sample Name,Sample Position,Method,Data File
day1_fdh_1,P3-A1,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day1_fdh_1
day1_fdh_2,P3-A2,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day1_fdh_2
day1_fdh_3,P3-A3,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day1_fdh_3
day1_gfp_1,P3-A4,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day1_gfp_1
day1_gfp_2,P3-A5,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day1_gfp_2
day1_gfp_3,P3-A6,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day1_gfp_3
day2_fdh_1,P3-B1,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day2_fdh_1
day2_fdh_2,P3-B2,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day2_fdh_2
day2_fdh_3,P3-B3,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day2_fdh_3
day2_gfp_1,P3-B4,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day2_gfp_1
day2_gfp_2,P3-B5,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day2_gfp_2
day2_gfp_3,P3-B6,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day2_gfp_3
day3_fdh_1,P3-C1,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day3_fdh_1
day3_fdh_2,P3-C2,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day3_fdh_2
day3_fdh_3,P3-C3,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day3_fdh_3
day3_gfp_1,P3-C4,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day3_gfp_1
day3_gfp_2,P3-C5,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day3_gfp_2
day3_gfp_3,P3-C6,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day3_gfp_3
day4_fdh_1,P3-D1,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day4_fdh_1
day4_fdh_2,P3-D2,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day4_fdh_2
day4_fdh_3,P3-D3,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day4_fdh_3
day4_gfp_1,P3-D4,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day4_gfp_1
day4_gfp_2,P3-D5,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day4_gfp_2
day4_gfp_3,P3-D6,Carothers\BEHamide_A2B2_95to60organic.m,D:\Projects\Marchand\Data\Carothers\240913\day4_gfp_3
script,,,
