"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V day1_gfp_1.d "
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_1.d" ,"1" ,3.844,3.917,4.515,180665.32,2848522.31,100.00,100.00,78.98,0.670,0.275,0.00,11971.25,3.839,3.839,5.235,5.241,0.00,11971.25,9.77,181951.67,,,  ,,,,,M,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_1.d" ,"2" ,5.274,5.944,6.637,16164.88,714765.01,25.09,8.95,19.82,1.363,1.228,0.00,0.00,5.235,5.241,6.554,6.737,0.00,0.00,0.90,16164.88,,,  ,248.9643,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_1.d" ,"3" ,6.837,7.020,7.037,8934.07,43216.16,1.52,4.95,1.20,0.200,0.082,0.00,0.00,6.554,6.737,7.037,10.985,0.00,0.00,0.08,8934.07,,,  ,248.9643,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_2.d"," -ESI EIC(133.0136) Scan Frag=175.0V day1_gfp_2.d "
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_2.d" ,"1" ,3.822,3.916,4.531,182205.40,2978617.94,100.00,100.00,85.73,0.709,0.264,0.00,5769.12,0.065,3.822,5.047,5.052,0.00,5769.12,8.45,182971.63,,,  ,,,,,M,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_2.d" ,"2" ,5.301,5.340,5.495,7736.66,68609.42,2.30,4.25,1.97,0.194,0.437,0.00,0.00,5.047,5.052,5.501,5.501,0.00,0.00,0.54,7736.66,,,  ,248.9643,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_2.d" ,"3" ,5.855,5.927,6.737,14794.65,427170.73,14.34,8.12,12.29,0.881,1.017,0.00,0.00,5.501,5.501,7.036,7.436,0.00,0.00,1.49,14794.65,,,  ,248.9643,,,,,,,,,,,,

