"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_1.d"," -ESI EIC(664.1170) Scan Frag=175.0V day1_gfp_1.d "
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_1.d" ,"1" ,3.911,4.072,4.709,236027.85,1985812.23,100.00,100.00,95.47,0.798,0.051,3630.79,12039.75,0.054,3.867,4.864,5.169,3630.79,12039.75,0.90,241352.13,,,  ,,,,,M,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_1.d" ,"2" ,4.958,5.213,5.351,6887.80,94268.82,4.75,2.92,4.53,0.393,0.381,892.65,0.00,4.864,5.169,5.435,10.985,0.00,0.00,0.39,6887.80,,,  ,248.9643,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_2.d"," -ESI EIC(664.1170) Scan Frag=175.0V day1_gfp_2.d "
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_2.d" ,"1" ,3.894,4.071,4.565,240367.13,2367514.37,100.00,100.00,95.98,0.670,0.056,1566.39,18525.52,0.065,3.866,4.869,5.080,1566.39,-11656.90,1.04,238436.53,,,  ,,,,,M,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_2.d" ,"2" ,4.997,5.202,5.589,6822.03,99158.78,4.19,2.84,4.02,0.593,0.365,1528.39,0.00,4.869,5.080,5.545,10.983,0.00,0.00,0.73,6822.03,,,  ,248.9643,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_3.d"," -ESI EIC(664.1170) Scan Frag=175.0V day1_gfp_3.d "
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_3.d" ,"1" ,3.892,4.069,4.662,217849.76,2352591.69,100.00,100.00,95.66,0.770,0.059,0.00,14968.98,0.063,3.858,4.878,5.077,0.00,-10531.90,1.76,215425.28,,,  ,,,,,M,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_gfp_3.d" ,"2" ,4.955,5.155,5.493,7966.89,106813.90,4.54,3.66,4.34,0.537,0.354,1859.98,0.00,4.878,5.077,5.454,5.543,0.00,0.00,1.06,7966.89,,,  ,248.9643,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_mdh_1.d"," -ESI EIC(664.1170) Scan Frag=175.0V day1_mdh_1.d "
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_mdh_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_mdh_1.d" ,"1" ,3.894,4.066,4.675,292939.87,2345273.20,100.00,100.00,96.55,0.781,0.054,0.00,15130.72,2.842,3.867,4.908,5.086,0.00,15130.72,0.94,296266.56,,,  ,,,,,M,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_mdh_1.d" ,"2" ,5.047,5.169,5.407,7442.30,83878.77,3.58,2.54,3.45,0.360,0.326,2008.96,0.00,4.908,5.086,5.396,10.984,0.00,0.00,0.87,7442.30,,,  ,248.9643,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_mdh_2.d"," -ESI EIC(664.1170) Scan Frag=175.0V day1_mdh_2.d "
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_mdh_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_mdh_2.d" ,"1" ,3.902,4.068,4.634,236991.20,2021828.23,100.00,100.00,95.79,0.731,0.055,1493.87,12923.03,2.850,3.863,4.872,5.093,0.00,12923.03,0.94,239928.17,,,  ,,,,,M,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_mdh_2.d" ,"2" ,4.994,5.210,5.393,7343.00,88762.18,4.39,3.10,4.21,0.399,0.377,2307.97,0.00,4.872,5.093,5.514,10.986,0.00,0.00,0.39,7343.00,,,  ,248.9643,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_mdh_3.d"," -ESI EIC(664.1170) Scan Frag=175.0V day1_mdh_3.d "
"D:\Projects\Marchand\Data\Carothers\240911_hydrogel\day1_mdh_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
