,pDA010.188,pRC029,pKO043,pKORP1,pBT009.306,pBT009.306_L,pCK303.AAV,pBT009.DA9_L,pKOGP1,pKOGP1_L,chi6
A1,2,2,1,0,0,1,0,0,0,0,3000
A2,2,2,1,0,0,0.5,0,0,0,0,3000
A3,2,2,1,0,0,0.25,0,0,0,0,3000
A4,2,2,1,0,0,0.05,0,0,0,0,3000
A5,2,2,1,0,1,0,0,0,0,0,0
A6,2,2,1,0,0.5,0,0,0,0,0,0
A7,2,2,1,0,0.25,0,0,0,0,0,0
A8,2,2,1,0,0.05,0,0,0,0,0,0
A9,2,2,1,0,0,0,0,1,0,0,3000
A10,2,2,1,0,0,0,0,0.5,0,0,3000
A11,2,2,1,0,0,0,0,0.25,0,0,3000
A12,2,2,1,0,0,0,0,0.05,0,0,3000
A13,2,2,1,0,0,0,1,0,0,0,0
A14,2,2,1,0,0,0,0.5,0,0,0,0
A15,2,2,1,0,0,0,0.25,0,0,0,0
A16,2,2,1,0,0,0,0.05,0,0,0,0
A17,2,2,0,1,0,0,0,0,1,0,0
A18,2,2,0,1,0,0,0,0,1,0,0
A19,2,2,0,1,0,0,0,0,2,0,0
A20,2,2,0,1,0,0,0,0,2,0,0
A21,2,2,0,1,0,0,0,0,4,0,0
A22,2,2,0,1,0,0,0,0,4,0,0
A23,2,2,0,1,0,0,0,0,0,1,3000
A24,2,2,0,1,0,0,0,0,0,1,3000
A25,2,2,0,1,0,0,0,0,0,2,3000
A26,2,2,0,1,0,0,0,0,0,2,3000
A27,2,2,0,1,0,0,0,0,0,4,3000
A28,2,2,0,1,0,0,0,0,0,4,3000
A29,2,2,0.05,0,1,0,0,0,0,0,0
A30,2,2,0.25,0,1,0,0,0,0,0,0
A31,2,2,0.5,0,1,0,0,0,0,0,0
A32,2,2,0.05,0,0,0,1,0,0,0,0
A33,2,2,0.25,0,0,0,1,0,0,0,0
A34,2,2,0.5,0,0,0,1,0,0,0,0
