Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A10,Destination[1],M15,375.0
Source[1],384PP_AQ_BP,P15,Destination[1],M15,375.0
Source[1],384PP_AQ_BP,A10,Destination[1],N15,650.0
Source[1],384PP_AQ_BP,P17,Destination[1],N15,100.0
Source[1],384PP_AQ_BP,A10,Destination[1],O15,675.0
Source[1],384PP_AQ_BP,P18,Destination[1],O15,75.0
Source[1],384PP_AQ_BP,A10,Destination[1],P15,525.0
Source[1],384PP_AQ_BP,P4,Destination[1],P15,225.0
Source[1],384PP_AQ_BP,N23,Destination[1],M15,2250.0
Source[1],384PP_AQ_BP,N23,Destination[1],N15,2250.0
Source[1],384PP_AQ_BP,N23,Destination[1],O15,2250.0
Source[1],384PP_AQ_BP,N23,Destination[1],P15,2250.0
