,pDA010.EL222,BLA6,BLA11,BLC7,BLD7,BLlux,BL117,p8,115
BLA6_d,8nM,10nM,,,,,,,
BLA6_l,8nM,10nM,,,,,,,
BLA11_d,8nM,,10nM,,,,,,
BLA11_l,8nM,,10nM,,,,,,
BLC7_d,8nM,,,10nM,,,,,
BLC7_l,8nM,,,10nM,,,,,
BLD7_d,8nM,,,,10nM,,,,
BLD7_l,8nM,,,,10nM,,,,
BLlux_d,8nM,,,,,10nM,,,
BLlux_l,8nM,,,,,10nM,,,
BL117_d,8nM,,,,,,10nM,,
BL117_l,8nM,,,,,,10nM,,
BL117_d,8nM,,,,,,,10nM,
BL117_l,8nM,,,,,,,10nM,
BL117_d,8nM,,,,,,,,10nM
BL117_l,8nM,,,,,,,,10nM
blank_d,,,,,,,,,
blank_l,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,8,,,,,0.75 scRNa,,
,,100,pDA303,4.324324324,,,,,
,,,,3.675675676,,,,,
