,pDA010.188,pRC029,EL222,BLD7.RR2,BLD7.DA9,BLD7.J306,TJ1,pDA303,J3.RFP,BLD7.RFP
i_off,4,4,8,,10,,1,,,
i_short,4,4,8,10,,,1,,,
i_long,4,4,8,10,,,1,,,
a_off,4,4,8,,,10,,10,,
a_short,4,4,8,,10,,,10,,
a_long,4,4,8,,10,,,10,,
c_off,4,4,8,,,10,,,,10
c_short,4,4,8,,,10,,,,10
c_long,4,4,8,,,10,,,,10
a2_off,4,4,8,,10,,,,10,
a2_short,4,4,8,,,10,,,10,
a2_long,4,4,8,,,10,,,10,
blank_off,,,,,,,,,,
blank_short,,,,,,,,,,
blank_long,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
mastermix,LHS,RHS,14.5,,,,,,,
,1ul X,10uL 4nM,40,dCas9,2.903,B6,,,,
,,10uL 4nM,40,SoxS,1.629,C17,,,,
,,10uL 8nM,80,EL222,5.383,F2,,,,
,,,,,4.584,water,,,,
,,,,,,,,,,
reporters,,,8.4,,,,,,,
,0.75ul X,10ul 1nm,13.33333333,TJ1,0.505,B3,,,,
,,,,,7.895,water,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,4,,,,,,,
,0.75ul X,10ul 10nm,133.3333333,pDA303,2.667,tube,,,,
,,,,,1.333,water,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,4,,,,,,,
,0.75ul X,10ul 10nm,133.3333333,J3.RFP,2.392,C7,,,,
,,,,,1.608,water,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,4,,,,,,,
,0.75ul X,10ul 10nm,133.3333333,BLD7.RFP,3.321,tube,,,,
,,,,,0.679,water,,,,
,,,,,,,,,,
,,,,,,,,,,
gRNAs,,,,,,,,,,
,,,0,,,,,,,
,0.75ul X,10ul 10nm,133.3333333,BLD7.RR2,,tube,,,,
,,,,,0.000,water,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,0,,,,,,,
,0.75ul X,10ul 10nm,133.3333333,BLD7.DA9,,tube,,,,
,,,,,0.000,water,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,0,,,,,,,
,0.75ul X,10ul 10nm,133.3333333,BLD7.J306,,tube,,,,
,,,,,0.000,water,,,,
