,pDA010.188,EL222,TJ1,BLD7.RR2,pDA330,
dark_i_1,4,8,1,40.000,,
dark_i_2,4,8,1,20.000,,
dark_i_3,4,8,1,10.000,,
dark_i_4,4,8,1,2.500,,
dark_i_5,4,8,1,0.625,,
dark_i_6,4,8,1,0.156,,
dark_i_7,4,8,1,0.039,,
dark_i_8,4,8,1,0.010,,
dark_i_9,4,8,1,0.001,,
dark_i_10,4,8,1,-,,
light_i_1,4,8,1,40.000,,
light_i_2,4,8,1,20.000,,2
light_i_3,4,8,1,10.000,,2
light_i_4,4,8,1,2.500,,4
light_i_5,4,8,1,0.625,,4
light_i_6,4,8,1,0.156,,4
light_i_7,4,8,1,0.039,,4
light_i_8,4,8,1,0.010,,4
light_i_9,4,8,1,0.001,,10
light_i_10,4,8,1,-,,
c_1,,,,,50,
c_2,,,,,25,
c_3,,,,,10,
c_4,,,,,1,
c_5,,,,,0.1,
c_6,,,,,0.01,
c_7,,,,,0.001,
dark_blank,,,,,,
light_dark,,,,,,
,,,,,,
mastermix,LHS,27.5,,,,
,1.25ul X,32,,dCas9,4.404,B6
,,8,,TJ1,1.000,B3
,,64,,EL222,16.327,F2
,,,,,5.769,water
,,,,,,
,,,,,,
gRNAs,,,,,,
,,6.750,,,,
,1.25ul X,320,,BLD7.RR2,6.119,tube
,,,,,0.631,water
