,pDA010.188,pRC029,EL222,pDA303,BLD7.DA9,
a_1,4,4,8,10,20,
a_2,4,4,8,10,10,
a_3,4,4,8,10,2.5,
a_4,4,4,8,10,0.625,
a_5,4,4,8,10,0.156,
a_6,4,4,8,10,0.039,
a_7,4,4,8,10,0.01,
a_8,4,4,8,10,0.001,
a_9,4,4,8,10,-,
blank,,,,,,
x2!,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
mastermix,LHS,RHS,24.75,,,
,1.25 ul X,10uL 4nM,32,dCas9,11.52838428,tube
,,10uL 4nM,32,SoxS,,tube
,,10uL 8nM,64,EL222,,tube
,,10uL 10nM,80,pDA303,,tube
,,,,,,water
gRNAs,,,,,,
,,,6,,,
,1.25ul X,10ul 10nm,,BLD7.DA9,1.779,tube
,,,,,4.221,water
