,pDA010.188,pRC029,BLD7.DA9,pDA303,EL222,pDA331,,,,,
e_2,4,4,0.6,10,42,,,,,,
e_3,4,4,0.6,10,21,,,,,,
e_4,4,4,0.6,10,10.5,,,,,,
e_5,4,4,0.6,10,5.25,,,,,,
e_6,4,4,0.6,10,-,,,,,,
p_1,4,4,0.6,10,8,50,,0.2,,,
p_2,4,4,0.6,10,8,32,,0.3125,,,
p_3,4,4,0.6,10,8,16,,0.625,,,
p_4,4,4,0.6,10,8,8,,1.25,,,
p_5,4,4,0.6,10,8,4,,2.5,,,
p_6,4,4,0.6,10,8,2,,5,,,
p_7,4,4,0.6,10,8,1,,10,,,
p_0,4,4,0.6,10,8,-,,,,,
blank,,,,,,,,,,,
x2!,,,,,,,,,,  ,
,,,,,,,,,,,
,,,,,,,,,,,
mastermix,LHS,RHS,18,,,,,21,,,
,1.25 ul X,10uL 4nM,32,dCas9,5.783,tube,,32,dCas9,6.747,tube
,,10uL 4nM,32,SoxS,2.409,tube,,32,SoxS,2.811,tube
,,10uL 0.6nM,4.8,BL.DA9,0.377,tube,,1.6,BL.DA9,0.146,tube
,,10uL 10nM,80,pDA303,3.824,tube,,80,pDA303,4.461,tube
,,,,,5.608,water,,64,EL222,1.874,tube
EL222,,,,,,,,,,4.961,water
,,,7,,,,,,,,
,1.25ul X,10ul 84nm,672,pDA010.EL222,6.561,tube,,,,,
,,,,,0.439,water,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,7,,,,,,,,
,1.25ul X,10ul 1nm,8,pDA331,0.406,tube,,137.9310345,,,
,,,,,6.594,water,,,,,
