,pDA010.188,pRC029,EL222,pDA303,BLD7.DA9,pDA331,,,,,,,MAKE,TAKE,WATER,LEFT
p_1,4,4,20,10,0.5,10,,1.333333333,,,,10,18,12,,6
p_2,4,4,20,10,0.5,7.5,,1.5,,,,7.5,16,10,4,6
p_3,4,4,20,10,0.5,5,,2,,,,5,15,6,5,9
p_4,4,4,20,10,0.5,2.5,,2.5,,,,2.5,12,6,6,6
p_5,4,4,20,10,0.5,1,,,,,,1,15,6,9,9
p_6,4,4,20,10,0.5,0,,,,,,,,,,
p_7,4,4,20,10,0.25,10,,1.333333333,,,,,,,,
p_8,4,4,20,10,0.25,7.5,,1.5,,,,,,,,
p_9,4,4,20,10,0.25,5,,2,,,,,,,,
p_10,4,4,20,10,0.25,2.5,,2.5,,,,,,,,
p_11,4,4,20,10,0.25,1,,,,,,,,,,
p_12,4,4,20,10,0.25,0,,,,  ,,,,,,
blank,,,,,,,,,,,,,,,,
x2!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
mastermix,LHS,RHS,18,,,,,,,,,,,,,
,1.25 ul X,10uL 4nM,32,dCas9,5.783,tube,,,,,,,,,,
,,10uL 4nM,32,SoxS,2.410,tube,,,,,,,,,,
,,10uL 10nM,80,pDA303,3.824,tube,,,,,,,,,,
,,10ul 20nM,160,EL222,4.017,tube,,,,,,,,,,
,,10ul 0.5nm,4,BLD7.DA9,0.314,tube,,,,,,,,,,
,,,,,1.653,water,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
mastermix,LHS,RHS,18,,,,,,,,,,,,,
,1.25 ul X,10uL 4nM,32,dCas9,5.783,tube,,,,,,,,,,
,,10uL 4nM,32,SoxS,2.410,tube,,,,,,,,,,
,,10uL 10nM,80,pDA303,3.824,tube,,,,,,,,,,
,,10ul 20nM,160,EL222,4.017,tube,,,,,,,,,,
,,10ul 0.25nm,2,BLD7.DA9,0.157,tube,,,,,,,,,,
,,,,,1.809,water,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,
,1.25ul X,10ul 10nm,80,pDA331,3.038,tube,,,,,,,,,,
,,,,,14.962,water,,,,,,,,,,
