,pDA010.188,pRC029,EL222,BLD7.DA9,pDA312,pDA332,pDA303 (pDA306??),
p_1,4,4,15,0.4,0.2,6,3,2
p_2,4,4,15,0.4,0.2,3,3,1
p_3,4,4,15,0.4,0.2,1.5,3,0.5
p_4,4,4,15,0.4,0.2,0.75,3,0.25
p_5,4,4,15,0.4,0.2,0.375,3,0.13
p_6,4,4,15,0.4,0.2,0.188,3,0.06
p_7,4,4,15,0.4,0.2,0.094,3,0.03
p_8,4,4,15,0.4,0.2,0.047,3,0.02
p_9,4,4,15,0.4,0.2,0,3,0
blank,,,,,,,,
,,,,,,,,
x2!,,,,,,,,
,,,,,,,,
mastermix,LHS,RHS,37.8,,,,,
,1.75 ul X,10uL 4nM,22.857,dCas9,3.175,tube,272.1242835,
,,10uL 4nM,22.857,SoxS,3.615,tube,239.0026556,
,,10uL 3nM,17.143,pDA303,4.216,tube,153.7014706,
,,10ul 15nM,85.714,EL222,6.313,tube,513.2249644,
,,10ul 0.4nm,2.286,BLD7.DA9,0.5,tube,,172.8216
,,10ul 0.2nm,1.143,pDA312,0.5,tube,,86.4108
,,,,,19.48,water,,
,,,,,,,,
,3.3,pDA332,,,,,,
,80,6,,,,,,
,,,,,,,,
,0.835,2.465,water,,,,,
