,pDA010.188,pRC029,EL222,BLD7.DA9,pDA312,pDA306,BLD7.RFP,,,,,,,,,
p_1,4,4,15,0.60,5,10,,,,,,,,,,
p_2,4,4,15,0.20,5,10,,,,,,,,,,
p_3,4,4,15,0.07,5,10,,,,,,,,,,
p_4,4,4,15,0.02,5,10,,,,,,,,,,
,,,,,,,,,,,,,,,,
p_1,4,4,15,0.60,0.2,10,,,,,,,,,,
p_2,4,4,15,0.20,0.2,10,,,,,,,,,,
p_3,4,4,15,0.07,0.2,10,,,,,,,,,,
p_4,4,4,15,0.02,0.2,10,,,,,,,,,,
,,,,,,,,,,,,,,,,
p_1,4,4,15,0.60,0.010,10,,,,,,,,,,
p_2,4,4,15,0.20,0.010,10,,,,,,,,,,
p_3,4,4,15,0.07,0.010,10,,,,,,,,,,
p_4,4,4,15,0.02,0.010,10,,,,,,,,,,
,,,,,,,,,,,,,,,,
p_1,4,4,15,,,,0.60,,,,,,,,,
p_2,4,4,15,,,,0.20,,,,,,,,,
p_3,4,4,15,,,,0.07,,,,,,,,,
p_4,4,4,15,,,,0.02,,,,,,,,,
,,,,,,,,,,,,,,,,
x2!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
mastermix,LHS,RHS,52.8,,,,,,mastermix,LHS,RHS,13.2,,,,
,1.5 ul X,10uL 4nM,26.66666667,dCas9,5.174106412,tube,272.1242835,,,1.5 ul X,10uL 4nM,26.66666667,dCas9,1.293526603,tube,272.1242835
,,10uL 4nM,2.666666667,SoxS,0.19637378,tube,717,,,,10uL 4nM,2.666666667,SoxS,0.147278698,tube,239.0026556
,,10uL 10nM,66.66666667,pDA306,22.37762238,tube,157.3,,,,10ul 15nM,100,EL222,2.571971536,tube,513.2249644
,,10ul 15nM,100,EL222,10.28788614,tube,513.2249644,,,,,,,9.187223162,water,
,,,,,14.76401129,water,,,,,,,,,,
,,,,,,,,,,,,,,,,
,8.8,pDA312,9.9,BLD7.DA9,,,,,,,,,,,,
,80,6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,0.835,2.465,,,water,,,,,,,,,,,
