,pDA010.188,pRC029,EL222,BLD7.RFP,BLD7.DA9,pDA303,pDA312,pDA306,,,,,
c2_1,4,4,15,,0.6,,0.2,5,,,,,
,,,,,,,,,,,,,
c1_1,4,4,15,,0.6,5,,,,,,,
,,,,,,,,,,,,,
c0_1,4,4,15,0.6,,,,,,,,,
,,,,,,,,,,,,,
x2!,,,,,,,,,,,,,
,,,,,,,,,,,,,
mastermix,LHS,RHS,9.9,,,,[stock],,,,,,
,1.5 ul X,10uL 4nM,26.66666667,dCas9,0.970144952,tube,272.1242835,,,,,,
,,10uL 4nM,26.66666667,SoxS,0.994421915,tube,715.1,,,,,,
,,10ul 15nM,100,EL222,5.195902094,tube,513.2249644,,,,,,
,,,,,2.739531039,water,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,4,,,,4,,,,4,,,,
,6nM,0.4,BLD7.RFP,,6nM,0.400,BLD7.DA9,,6nM,0.400,BLD7.DA9,229.3,60
,,3.6,water,,100nM,2.602,pDA303,,100nM,2.543,pDA306,157.3,
,,,,,,0.998,water,,2nM,0.4,pDA312,618.3,20
,,,,,,,,,,0.657,water,,
