,pDA010.188,pRC029,EL222,BLD7.RFP,BLD7.DA9,pDA303,pDA312,pDA306,TJ1.RFP,,,,,,
c2_1,4,4,15,,0.600,,0.2,10,,,,,,,
c2_2,4,4,15,,0.200,,0.2,10,,,,,,,
c2_3,4,4,15,,0.067,,0.2,10,,,,,,,
c2_4,4,4,15,,0.022,,0.2,10,,,,,,,
c2_5,4,4,15,,0.007,,0.2,10,,,,,,,
c2_6,4,4,15,,-,,0.2,10,,,,,,,
c1_1,4,4,15,,0.600,10,,,,,,,,,
c1_2,4,4,15,,0.200,10,,,,,,,,,
c1_3,4,4,15,,0.067,10,,,,,,,,,
c1_4,4,4,15,,0.022,10,,,,,,,,,
c1_5,4,4,15,,0.007,10,,,,,,,,,
c1_6,4,4,15,,-,10,,,,,,,,,
c0_1,4,4,15,0.2,,,,,,,,,,,
TJ1,,,,,,,,,0.5,,,,,,
blank,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
x2!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
mastermix,LHS,RHS,28.6,,,,[stock],,,,,,,,
,1uL x,10uL 4nM,40,dCas9,#DIV/0!,tube,,,,,,,,,
,,10uL 4nM,40,SoxS,1.599776255,tube,715.1,,,,,,,,
,,10ul 15nM,150,EL222,8.358907492,tube,513.2249644,,,,,,,,
,,,,,#DIV/0!,water,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,9.9,,,,9.9,,,,,,,6.6,,[stock],
,133nM,8.566688354,pDA303,,133nM,8.371,pDA306,157.3,,,,,BLD7.DA9,229.3,60
,,1.333311646,water,,2.67nM,0.500,pDA312,618.3,20,,,8,0.88,,
,,,,,,1.029,water,,,,,,5.72,water,
