,pDA010.188,pRC029,EL222,BLD7.DA9,pDA312,pDA306,TJ1.RFP,,
cH_1,4,4,15,0.067,0.2,10,,,
cH_2,4,4,15,0.067,0.066666667,10,,,
cH_3,4,4,15,0.067,0.022222222,10,,,
cH_4,4,4,15,0.067,0.007407407,10,,,
cH_5,4,4,15,0.067,0.002469136,10,,,
cH_6,4,4,15,0.067,-,10,,,
cL_1,4,4,15,0.022,0.2,10,,,
cL_2,4,4,15,0.022,0.066666667,10,,,
cL_3,4,4,15,0.022,0.022222222,10,,,
cL_4,4,4,15,0.022,0.007407407,10,,,
cL_5,4,4,15,0.022,0.002469136,10,,,
cL_6,4,4,15,0.022,-,10,,,
TJ1,,,,,,,0.5,,
blank,,,,,,,,,
,,,,,,,,,
x2!,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
mastermix,LHS,RHS,26.4,,,,[stock],,
,1uL x,10uL 4nM,40,dCas9,2.983893755,tube,353.9,,
,,10uL 4nM,40,SoxS,1.476716543,tube,715.1,,
,,10ul 15nM,150,EL222,7.715914608,tube,513.2249644,,
,,10ul 10nm,100,pDA306,5.042016807,tube,523.6,,
,,,,,9.181458287,water,,,
,,,,,,,,,
,,,,,,,,,
,19.8,,[stock],,,6.6,,,
,,BLD7.DA9,229.3,30,,,pDA312,618.3,20
,0.893333333,0.5896,,,,2.666666667,0.88,,
,,19.2104,water,,,,5.72,water,
